,BlobID,Compound.Name,Library Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Overlap_Class,Overlap_Class1,influence_type_1,influence_type_2,assigned_cluster_1,assigned_cluster_2
812,1325,1202_1412_blob_1325,amz_lib_1202_1412,"2-Ketoglutaric acid, tri-TMS",461,540,1619.393939,1629,"1,3-Dioxolane-4-prop-2-enoic acid, 2,2-dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)propyl]-, methyl ester",623,634,NA,C18H34O6Si,374,limonox_S_blob_672,613,651,1612,IOP1_UP,Mixed_Class,UP,NA,13,1
926,1325,1202_0046_blob_1325,amz_lib_1202_0046,C7 acid,400,513,1859.459459,NA,"Isoxazolo[2,3-b]benz[1,2]oxazine, perhydro-2-methoxycarbonyl-10-methyl-5a-trimethylsilyloxy-",600,615,NA,C16H29NO5Si,343,limonox_S_blob_649,612,647,1868,IOP1_UP,SeasonUnique,UP,NA,11,NA
103,874,1221_0832_blob_874,amz_lib_1221_0832,C7 acid,391,489,1969.127517,NA,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",669,763,NA,C10H22O3Si2,246,limonox_S_blob_685,611,642,1963,IOP1_UP,Mixed_Class,UP,NA,11,7
131,815,1221_0832_blob_815,amz_lib_1221_0832,C7 acid,454,542,1743.902439,NA,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",672,673,NA,C14H31BO6Si2,362,limonox_S_blob_888,611,664,1750,IOP1_UP,Mixed_Class,UP,NA,12,7
1074,1384,1129_1334_blob_1384,amz_lib_1129_1334,bisabolol,531,563,1770.909091,1770,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",662,681,NA,C13H26BNO6Si,331,limonox_S_blob_790,611,681,1768,IOP1_UP,SeasonUnique,UP,NA,12,NA
201,663,1221_0832_blob_663,amz_lib_1221_0832,C7 acid,531,589,1698.780488,NA,"5-Trimethylsilyloxy-5-methylhexanoic acid, trimethylsilyl ester",684,739,NA,C13H30O3Si2,290,myrc_ox_L_blob_709,609,637,1709,IOP1_UP,Mixed_Class,UP,NA,12,7
1042,1569,1129_1334_blob_1569,amz_lib_1129_1334,C7 acid,413,499,1649.69697,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,679,NA,C13H26BNO6Si,331,limonox_S_blob_655,609,678,1651,IOP1_UP,SeasonUnique,UP,NA,11,NA
973,903,1129_1334_blob_903,amz_lib_1129_1334,pinic acid 2,562,632,1695.757576,1697,"Methocarbamol, 2TMS derivative",630,676,NA,C17H31NO5Si2,385,limonox_S_blob_665,608,685,1691,IOP1_UP,SeasonUnique,UP,NA,11,NA
1045,1546,1129_1334_blob_1546,amz_lib_1129_1334,Humulene,543,636,1497.826087,1490,"d-Erythrotetrofuranose, tris-O-(trimethylsilyl)-",615,703,NA,C13H32O4Si3,336,apin_ox_S_blob_662,608,695,1502,IOP1_UP,SeasonUnique,UP,NA,11,NA
1153,1021,1129_1334_blob_1021,amz_lib_1129_1334,pinonic acid,474,490,1556.521739,1550,"Ethanone, 2-cyclohexyl-1-(1H-imidazol-4-yl)-",657,764,NA,C11H16N2O,192,limonox_L_blob_567,607,614,1549,IOP1_UP,SeasonUnique,UP,NA,11,NA
845,1073,1202_1412_blob_1073,amz_lib_1202_1412,galactosan,511,553,1688.484848,1684,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",673,699,NA,C16H37BO6Si3,420,limonox_L_blob_554,606,659,1678,IOP1_UP,SeasonUnique,UP,NA,11,NA
846,1067,1202_1412_blob_1067,amz_lib_1202_1412,C7 acid,407,498,1907.38255,NA,Ethyltrimethylsilyl dipropylmalonate,645,691,NA,C14H28O4Si,288,limonox_S_blob_814,606,690,1899,IOP1_UP,Mixed_Class,UP,NA,11,7
1037,1602,1129_1334_blob_1602,amz_lib_1129_1334,C7 acid,414,496,1659.393939,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",618,639,NA,C13H27Cl3O4Si2,408,apin_ox_L_blob_551,606,678,1667,IOP1_UP,Mixed_Class,UP,NA,11,7
1139,1080,1129_1334_blob_1080,amz_lib_1129_1334,"beta-caryophyllonic acid, TMS",525,597,1928.85906,1931,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",687,717,NA,C14H31BO6Si2,362,limonox_L_blob_581,606,649,1925,IOP1_UP,Mixed_Class,UP,NA,11,7
841,1098,1202_1412_blob_1098,amz_lib_1202_1412,"beta-caryophyllonic acid, TMS",518,627,1919.463087,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",732,759,NA,C13H26BNO6Si,331,limonox_S_blob_847,603,673,1925,IOP1_UP,SeasonUnique,UP,NA,11,NA
910,1551,1202_0046_blob_1551,amz_lib_1202_0046,C7 acid,421,528,1791.463415,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",654,685,NA,C13H26BNO6Si,331,apin_ox_S_blob_708,602,690,1784,IOP1_UP,SeasonUnique,UP,NA,12,NA
1085,1331,1129_1334_blob_1331,amz_lib_1129_1334,C7 acid,444,532,1653.333333,NA,"Erythrono-1,4-lactone, (Z)-, 2TMS derivative",596,691,NA,C10H22O4Si2,262,myrc_ox_L_blob_630,602,666,1652,IOP1_UP,SeasonUnique,UP,NA,12,NA
880,561,1202_0046_blob_561,amz_lib_1202_0046,C7 acid,387,503,1800,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",659,718,NA,C16H37BO6Si3,420,myrc_ox_L_blob_714,600,644,1804,IOP1_UP,SeasonUnique,UP,NA,11,NA
1029,1677,1129_1334_blob_1677,amz_lib_1129_1334,"dimethyl Glutaric Acid, TMS",510,515,1459.782609,1456,"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one, (D)-, 2TMS derivative",663,690,NA,C11H24O4Si2,276,myrc_ox_L_blob_745,600,626,1451,IOP1_UP,SeasonUnique,UP,NA,12,NA
1506,1034,1128_1901_blob_1034,amz_lib_1128_1901,C7 acid,484,564,1733.333333,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",699,711,NA,C13H26BNO6Si,331,limonox_S_blob_593,598,616,1732,IOP1_UP,Mixed_Class,UP,NA,13,7
971,910,1129_1334_blob_910,amz_lib_1129_1334,C7 acid,479,572,1741.818182,NA,"2-Propenoic acid, 3-[5-(2-hydroxypropyl)-2,2-dimethyl-1,3-dioxolan-4-yl]-, TBDMS derivative",623,630,NA,C17H32O5Si,344,apin_ox_S_blob_633,596,616,1734,IOP1_UP,Mixed_Class,UP,NA,13,7
787,1480,1202_1412_blob_1480,amz_lib_1202_1412,Me-OH-glutatric acid,605,671,1614.545455,1623,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",659,698,NA,C16H37BO6Si3,420,apin_ox_L_blob_544,595,651,1608,IOP1_UP,Mixed_Class,UP,NA,11,7
1038,1594,1129_1334_blob_1594,amz_lib_1129_1334,C10 carboxylic acid,510,545,1480.434783,1479,7-Methyl-Z-tetradecen-1-ol acetate,636,639,NA,C17H32O2,268,limonox_S_blob_606,594,623,1480,IOP1_UP,SeasonUnique,UP,NA,11,NA
394,874,1213_2145_blob_874,amz_lib_1213_2145,"2-Ketoglutaric acid, tri-TMS",533,583,1629.268293,1629,"Ethylmethylmalonic acid, bis(trimethylsilyl) ester",614,632,NA,C12H26O4Si2,290,myrc_ox_L_blob_627,592,609,1628,IOP1_UP,Mixed_Class,UP,NA,11,7
1117,1150,1129_1334_blob_1150,amz_lib_1129_1334,C7 acid,479,591,1746.666667,NA,"5-Hydroxymethyl-2,2,5-trimethyl-1,3-dioxane, TMS derivative",623,737,NA,C11H24O3Si,232,myrc_ox_L_blob_694,592,624,1746,IOP1_UP,Mixed_Class,UP,NA,11,7
1221,906,1128_1901_blob_906,amz_lib_1128_1901,levoglucosan,473,537,1734.545455,1726,"3-Hydroxyhex-2-enedioic acid, trimethylsilyl ether, bis(trimethylsilyl) ester",644,651,NA,C15H32O5Si3,376,apin_ox_L_blob_553,592,648,1726,IOP1_UP,Mixed_Class,UP,NA,11,7
1066,1427,1129_1334_blob_1427,amz_lib_1129_1334,"2-Ketoglutaric acid, tri-TMS",477,518,1623.030303,1629,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",592,602,NA,C17H37BO6Si2,404,myrc_ox_L_blob_627,590,657,1628,IOP1_UP,SeasonUnique,UP,NA,11,NA
689,908,1202_1412_blob_908,amz_lib_1202_1412,C7 acid,407,543,1857.718121,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",681,720,NA,C13H26BNO6Si,331,limonox_S_blob_823,588,695,1843,IOP1_UP,Mixed_Class,UP,NA,11,7
387,954,1213_2145_blob_954,amz_lib_1213_2145,C10 diacid (sebacic acid),498,535,1915.436242,1922,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",700,715,NA,C13H26BNO6Si,331,limonox_S_blob_725,587,727,1893,IOP1_UP,Mixed_Class,UP,NA,13,7
1064,1442,1129_1334_blob_1442,amz_lib_1129_1334,C7 acid,459,527,1550,NA,"Diglycolic acid, 2TMS derivative",673,739,NA,C10H22O5Si2,278,myrc_ox_L_blob_584,587,671,1567,IOP1_UP,SeasonUnique,UP,NA,12,NA
1374,1480,1128_1901_blob_1480,amz_lib_1128_1901,pinic acid 2,447,490,1698.181818,1697,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",662,690,NA,C14H28O4Si2,316,limonox_S_blob_923,582,636,1699,IOP1_UP,Mixed_Class,UP,NA,11,7
1061,1456,1129_1334_blob_1456,amz_lib_1129_1334,Me-OH-glutatric acid,495,534,1618.181818,1623,"N-Acetyl glucosamine methoxime, tetrakis(trimethylsilyl)",622,640,NA,C21H50N2O6Si4,538,myrc_ox_L_blob_601,579,655,1614,IOP1_UP,SeasonUnique,UP,NA,11,NA
154,762,1221_0832_blob_762,amz_lib_1221_0832,C7 acid,544,595,1718.292683,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",659,681,NA,C15H30O4Si,302,apin_ox_S_blob_677,578,659,1709,IOP1_UP,Mixed_Class,UP,NA,11,7
180,707,1221_0832_blob_707,amz_lib_1221_0832,C7 acid,409,446,1601.219512,NA,"Silane, [(1-methoxy-1,3-propanediyl)bis(oxy)]bis[trimethyl-",617,704,NA,C10H26O3Si2,250,limonox_S_blob_730,578,603,1595,IOP1_UP,Mixed_Class,UP,NA,13,1
1123,1130,1129_1334_blob_1130,amz_lib_1129_1334,C7 acid,373,545,1883.221477,NA,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",678,753,NA,C14H31BO6Si2,362,limonox_S_blob_725,575,676,1893,IOP1_UP,SeasonUnique,UP,NA,11,NA
233,48,1221_0832_blob_48,amz_lib_1221_0832,C7 acid,427,527,1572.527473,NA,"Propanetriol, 2-methyl-, tris-O-(trimethylsilyl)-",792,824,NA,C13H34O3Si3,322,apin_ox_S_blob_570,573,598,1570,IOP1_UP,Mixed_Class,UP,NA,12,7
224,572,1221_0832_blob_572,amz_lib_1221_0832,MBTCA,554,561,1776.829268,1776,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",759,807,NA,C10H22O3Si2,246,myrc_ox_L_blob_727,572,600,1774,IOP1_UP,Mixed_Class,UP,NA,12,7
1022,1768,1129_1334_blob_1768,amz_lib_1129_1334,C7 acid,366,412,1580.434783,NA,"3-Butenoic acid, 3-(trimethylsiloxy)-, trimethylsilyl ester",593,655,NA,C10H22O3Si2,246,limonox_S_blob_746,565,595,1576,IOP1_UP,SeasonUnique,UP,NA,12,NA
1510,1019,1128_1901_blob_1019,amz_lib_1128_1901,C7 acid,527,554,1560.869565,NA,"Tripropylene glycol monomethyl ether, TMS derivative",792,848,NA,C13H30O4Si,278,myrc_ox_L_blob_584,558,568,1567,IOP1_UP,Mixed_Class,UP,NA,12,7
962,973,1129_1334_blob_973,amz_lib_1129_1334,"2-Ketoglutaric acid, tri-TMS",443,553,1635.151515,1629,Aphidicolin glycinate,586,608,NA,C22H37NO5,395,apin_ox_S_blob_656,557,641,1630,IOP1_UP,SeasonUnique,UP,NA,11,NA
780,1514,1202_1412_blob_1514,amz_lib_1202_1412,"beta-caryophyllonic acid, TMS",428,602,1946.308725,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",687,727,NA,C13H26BNO6Si,331,limonox_S_blob_706,556,604,1947,IOP1_UP,SeasonUnique,UP,NA,11,NA
768,1590,1202_1412_blob_1590,amz_lib_1202_1412,"beta-nocaryophyllonic acid, TMS",431,547,1973.154362,1985,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,698,NA,C13H26BNO6Si,331,limonox_S_blob_685,553,651,1963,IOP1_UP,SeasonUnique,UP,NA,11,NA
782,1505,1202_1412_blob_1505,amz_lib_1202_1412,"beta-caryophyllinic acid, TMS",611,674,2066.666667,2060,"10,12-Docosadiynedioic acid, 2TMS derivative",682,690,NA,C28H50O4Si2,506,limonox_S_blob_583,553,653,2078,IOP1_UP,SeasonUnique,UP,NA,13,NA
949,1087,1202_0046_blob_1087,amz_lib_1202_0046,C7 acid,365,536,1971.621622,NA,2-Chlorobis(3-trimethylsilylpropyl)silylnorbornadiene,626,663,NA,C19H37ClSi3,384,bcp_ox_L_blob_678,548,605,1959,IOP1_UP,Mixed_Class,UP,NA,12,1
1071,1406,1129_1334_blob_1406,amz_lib_1129_1334,C7 acid,511,558,1579.347826,NA,"2-Propenoic acid, 3-[5-(2-hydroxypropyl)-2,2-dimethyl-1,3-dioxolan-4-yl]-, TBDMS derivative",608,609,NA,C17H32O5Si,344,limonox_S_blob_746,548,593,1576,IOP1_UP,Mixed_Class,UP,NA,11,7
417,609,1213_2145_blob_609,amz_lib_1213_2145,levoglucosan,602,806,1743.902439,1726,"Levoglucosan, 3TMS derivative",709,807,1694,C15H34O5Si3,378,myrc_ox_L_blob_723,546,583,1749,IOP1_UP,Mixed_Class,UP,NA,11,8
1485,1103,1128_1901_blob_1103,amz_lib_1128_1901,C7 acid,410,502,1893.959732,NA,"1-Oxacyclotetradec-5-yn-2-one, 8-(t-butyldimethylsilyloxy)-14-[4-(t-butyldimethylsilyloxy)butyl]-",533,575,NA,C29H56O4Si2,524,limonox_L_blob_564,546,599,1893,IOP1_UP,SeasonUnique,UP,NA,11,NA
1026,1690,1129_1334_blob_1690,amz_lib_1129_1334,C9 acid,508,564,1376.87919,1378,"D-(-)-Citramalic acid, 2TMS derivative",796,809,NA,C11H24O5Si2,292,apin_ox_S_blob_592,545,582,NA,IOP1_UP,SeasonUnique,UP,NA,12,NA
1036,1609,1129_1334_blob_1609,amz_lib_1129_1334,C7 acid,464,503,1442.391304,NA,"1,3-Bis(trimethylsilyloxy)pentane",620,776,NA,C11H28O2Si2,248,apin_ox_S_blob_592,545,589,NA,IOP1_UP,SeasonUnique,UP,NA,12,NA
1142,1070,1129_1334_blob_1070,amz_lib_1129_1334,C7 acid,401,556,1789.090909,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",701,727,NA,C13H26BNO6Si,331,limonox_S_blob_850,545,619,1786,IOP1_UP,Mixed_Class,UP,NA,11,5
1081,1362,1129_1334_blob_1362,amz_lib_1129_1334,C7 acid,343,460,1962.416107,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",621,675,NA,C13H26BNO6Si,331,limonox_S_blob_685,542,634,1963,IOP1_UP,SeasonUnique,UP,NA,11,NA
1103,1227,1129_1334_blob_1227,amz_lib_1129_1334,C7 acid,414,540,1880.536913,NA,"Butylethylmalonic acid, bis(trimethylsilyl)- ester",642,694,NA,C15H32O4Si2,332,apin_ox_L_blob_523,539,598,1870,IOP1_UP,SeasonUnique,UP,NA,12,NA
1356,1569,1128_1901_blob_1569,amz_lib_1128_1901,C7 acid,329,446,1864.42953,NA,"2-Hydroxyundecanoic acid, trimethylsilyl ether, trimethylsilyl ester",542,722,NA,C17H38O3Si2,346,limonox_L_blob_600,537,647,1843,IOP1_UP,Mixed_Class,UP,NA,13,7
1077,1376,1129_1334_blob_1376,amz_lib_1129_1334,C7 acid,360,517,1885.90604,NA,"[2,6-Bis(1-methylethyl)phenoxy](trimethyl)silane",580,669,NA,C15H26OSi,250,limonox_S_blob_725,533,597,1893,IOP1_UP,SeasonUnique,UP,NA,13,NA
1119,1146,1129_1334_blob_1146,amz_lib_1129_1334,C7 acid,418,560,2093.333333,NA,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",709,732,NA,C14H31BO6Si2,362,limonox_S_blob_1216,533,665,2098,IOP1_UP,SeasonUnique,UP,NA,11,NA
1063,1443,1129_1334_blob_1443,amz_lib_1129_1334,C10 diacid (sebacic acid),360,492,1906.040268,1922,"a-D-Mannopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",717,775,NA,C17H37BO6Si2,404,limonox_S_blob_725,530,596,1893,IOP1_UP,SeasonUnique,UP,NA,11,NA
830,1181,1202_1412_blob_1181,amz_lib_1202_1412,C7 acid,395,537,2085.925926,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",680,753,NA,C13H26BNO6Si,331,bcp_ox_L_blob_989,528,588,2087,IOP1_UP,SeasonUnique,UP,NA,11,NA
1099,1241,1129_1334_blob_1241,amz_lib_1129_1334,"beta-caryophyllonic acid, TMS",494,527,1936.912752,1931,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",682,717,NA,C16H37BO6Si3,420,limonox_S_blob_847,525,617,1925,IOP1_UP,SeasonUnique,UP,NA,12,NA
1152,1034,1129_1334_blob_1034,amz_lib_1129_1334,C7 acid,377,536,1967.785235,NA,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",670,733,NA,C14H31BO6Si2,362,bcp_ox_L_blob_678,524,615,1959,IOP1_UP,SeasonUnique,UP,NA,12,NA
1499,1066,1128_1901_blob_1066,amz_lib_1128_1901,C7 acid,365,494,1663.030303,NA,"3-(2-Methoxyphenoxy)lactic acid, O,O'-bis(trimethylsilyl)-",588,683,NA,C16H28O5Si2,356,myrc_ox_L_blob_691,523,689,1677,IOP1_UP,SeasonUnique,UP,NA,11,NA
692,889,1202_1412_blob_889,amz_lib_1202_1412,C10 diacid (sebacic acid),583,608,1919.463087,1922,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",657,665,NA,C14H31BO6Si2,362,limonox_S_blob_847,520,586,1925,IOP1_UP,SeasonUnique,UP,NA,13,NA
774,1563,1202_1412_blob_1563,amz_lib_1202_1412,C16 Acid,464,538,2081.481481,2078,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",656,680,NA,C13H26BNO6Si,331,limonox_S_blob_583,519,601,2078,IOP1_UP,SeasonUnique,UP,NA,12,NA
1095,1271,1129_1334_blob_1271,amz_lib_1129_1334,C7 acid,384,525,2100.740741,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",687,753,NA,C13H26BNO6Si,331,limonox_S_blob_1216,518,668,2098,IOP1_UP,Mixed_Class,UP,NA,13,7
1131,1107,1129_1334_blob_1107,amz_lib_1129_1334,C7 acid,382,489,1962.416107,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",603,635,NA,C13H26BNO6Si,331,limonox_S_blob_685,516,598,1963,IOP1_UP,SeasonUnique,UP,NA,12,NA
794,1438,1202_1412_blob_1438,amz_lib_1202_1412,bisabolol,410,479,1761.212121,1770,"Hexylmalonic acid, bis(trimethylsilyl)- ester",595,639,NA,C15H32O4Si2,332,apin_ox_L_blob_529,515,562,1770,IOP1_UP,SeasonUnique,UP,NA,11,NA
795,1437,1202_1412_blob_1437,amz_lib_1202_1412,C7 acid,424,500,1961.073826,NA,10-Methyl-8-tetradecen-1-ol acetate,568,613,NA,C17H32O2,268,bcp_ox_L_blob_678,515,547,1959,IOP1_UP,SeasonUnique,UP,NA,11,NA
1120,1143,1129_1334_blob_1143,amz_lib_1129_1334,C7 acid,412,578,2017.777778,NA,"2-Cyclohexene-1-carboxylic acid, 2-(7-hydroxy-3-methyl-1,3-octadienyl)-1,3-dimethyl-4-oxo-, methyl ester, [R-[R*,S*-(E,E)]]-",594,658,NA,C19H28O4,320,bcp_ox_L_blob_641,513,580,2030,IOP1_UP,SeasonUnique,UP,NA,11,NA
743,1846,1202_1412_blob_1846,amz_lib_1202_1412,"beta-nocaryophyllinic acid, TMS",499,574,2118.518519,2127,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",663,693,NA,C14H31BO6Si2,362,limonox_S_blob_905,511,642,2120,IOP1_UP,SeasonUnique,UP,NA,12,NA
943,1128,1202_0046_blob_1128,amz_lib_1202_0046,C7 acid,443,536,2089.705882,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",683,718,NA,C13H26BNO6Si,331,limonox_S_blob_1216,511,634,2098,IOP1_UP,Mixed_Class,UP,NA,11,7
758,1671,1202_1412_blob_1671,amz_lib_1202_1412,C7 acid,379,520,2091.851852,NA,"?-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",577,595,NA,C14H31BO6Si2,362,limonox_S_blob_1216,504,665,2098,IOP1_UP,SeasonUnique,UP,NA,12,NA
805,1344,1202_1412_blob_1344,amz_lib_1202_1412,"beta-nocaryophyllinic acid, TMS",473,598,2142.222222,2127,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",677,735,NA,C13H26BNO6Si,331,limonox_S_blob_905,501,718,2120,IOP1_UP,Mixed_Class,UP,NA,12,7
1107,1208,1129_1334_blob_1208,amz_lib_1129_1334,C7 acid,348,494,1979.865772,NA,"?-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",659,665,NA,C27H52N2O10Si3,648,limonox_S_blob_685,499,661,1963,IOP1_UP,SeasonUnique,UP,NA,11,NA
1070,1408,1129_1334_blob_1408,amz_lib_1129_1334,"beta-caryophyllinic acid, TMS",426,629,2042.962963,2060,"4,6-Dioxa-3,7-disilanonane, 2,2,3,3,7,7,8,8-octamethyl-5-[2-methyl-2-(4-methyl-3-pentenyl)cyclopropyl]-, trans-",606,635,NA,C23H48O2Si2,412,bcp_ox_L_blob_771,498,549,2035,IOP1_UP,SeasonUnique,UP,NA,11,NA
728,573,1202_1412_blob_573,amz_lib_1202_1412,C7 acid,407,543,1554.098361,NA,"Propanetriol, 2-methyl-, tris-O-(trimethylsilyl)-",755,824,NA,C13H34O3Si3,322,myrc_ox_L_blob_584,495,549,1567,IOP1_UP,Mixed_Class,UP,NA,12,7
1087,1323,1129_1334_blob_1323,amz_lib_1129_1334,"beta-caryophyllonic acid, TMS",401,524,1944.966443,1931,"10,12-Docosadiynedioic acid, 2TMS derivative",608,619,NA,C28H50O4Si2,506,limonox_S_blob_706,495,525,1947,IOP1_UP,SeasonUnique,UP,NA,12,NA
1143,1068,1129_1334_blob_1068,amz_lib_1129_1334,C7 acid,381,464,1861.744966,NA,"7-Trimethylsilyloxy-7-methyloctanoic acid, trimethylsilyl ester",612,692,NA,C15H34O3Si2,318,limonox_S_blob_804,494,560,1868,IOP1_UP,SeasonUnique,UP,NA,11,NA
174,718,1221_0832_blob_718,amz_lib_1221_0832,"beta-caryophyllonic acid, TMS",467,469,1926.174497,1931,4-Propylacridine,685,748,NA,C16H15N,221,limonox_S_blob_633,488,553,NA,IOP1_UP,Mixed_Class,UP,NA,11,9
1051,1510,1129_1334_blob_1510,amz_lib_1129_1334,C7 acid,432,544,2359.677419,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",672,695,NA,C16H37BO6Si3,420,apin_ox_S_blob_592,486,630,NA,IOP1_UP,SeasonUnique,UP,NA,11,NA
1068,1419,1129_1334_blob_1419,amz_lib_1129_1334,"beta-nocaryophyllonic acid, TMS",500,528,1986.577181,1985,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",620,655,NA,C13H26BNO6Si,331,limonox_S_blob_685,486,644,1963,IOP1_UP,SeasonUnique,UP,NA,11,NA
1148,1050,1129_1334_blob_1050,amz_lib_1129_1334,C7 acid,356,523,1573.913043,NA,"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide",660,678,NA,C18H33NO3Si2,367,myrc_ox_L_blob_682,485,609,1567,IOP1_UP,SeasonUnique,UP,NA,11,NA
977,870,1129_1334_blob_870,amz_lib_1129_1334,C7 acid,413,435,1739.393939,NA,"Propennitrile, 2-(benzoxazol-2-yl)-3-hydroxy-",601,644,NA,C10H6N2O2,186,myrc_ox_L_blob_670,484,496,1741,IOP1_UP,Mixed_Class,UP,NA,11,5
958,1009,1202_0046_blob_1009,amz_lib_1202_0046,C7 acid,447,573,2005.882353,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",722,753,NA,C13H26BNO6Si,331,limonox_S_blob_788,482,621,1989,IOP1_UP,Mixed_Class,UP,NA,11,7
1050,1515,1129_1334_blob_1515,amz_lib_1129_1334,"beta-nocaryophyllinic acid, TMS",411,508,2114.074074,2127,"a-D-Glucopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic phenylboronate",612,639,NA,C19H33BO6Si2,424,limonox_S_blob_905,482,659,2120,IOP1_UP,SeasonUnique,UP,NA,11,NA
1053,1502,1129_1334_blob_1502,amz_lib_1129_1334,C7 acid,368,465,2004.444444,NA,"1,12-Dodecanediol, 2TMS derivative",564,622,NA,C18H42O2Si2,346,limonox_S_blob_687,473,629,NA,IOP1_UP,SeasonUnique,UP,NA,12,NA
