Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
1221_0832_blob_1113,0.000254485,0.555933116,0.56673403,0.422650561,0.072309695,0.40348814,-0.071646681,0.537731513,0.552768705,-0.235241695,-0.054072023,-0.164690483,-0.62450051,C7 acid,505,556,1643.902439,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",679,732,NA,C15H30O5Si,myrc_ox_L_blob_729,710,749,1634,0.898866945,0.380007723,NA,0.811434622,0.626262404,0.740194086,0.56782223,0.625919141,0.604109727,0.774620844,0.70832414,0.815753089,NA,0.125230976,0.582663208,0.91935356,0.677344781,NYC,,,
1221_0832_blob_1104,0.001051208,0.389775326,0.005885351,-0.302374659,-0.126142046,0.043585786,-0.191835936,0.154959498,0.213961464,0.224037035,-0.064672553,0.052460055,0.077871459,"4, 4 dimethoxy-benzophenone",49,292,2319.354839,2293,"1,1'-Bis(cyclooct-2-en-4-one)",697,761,NA,C16H22O2,bcp_ox_L_blob_1289,177,482,2265,-0.215794599,0.341367201,NA,0.299650785,0.033875759,0.566406141,0.329116075,0.315830017,0.132391222,0.591896002,0.404387475,-0.101820901,NA,0.683871024,0.820882662,-0.086039288,0.692922946,NYC,,,
1221_0832_blob_1103,1.24E-05,NA,NA,NA,NA,NA,NA,-0.100881403,0.971009969,0.563282878,-0.956842059,0.955923433,0.442603784,C7 acid,447,511,1591.208791,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",588,674,NA,C15H30O4Si,limonox_S_blob_746,566,697,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_0832_blob_1101,0.000114118,NA,NA,NA,NA,NA,NA,0.531684665,0.57329579,-0.265569136,0.106797305,-0.019793225,-0.364266447,C7 acid,480,563,1793.902439,NA,Epimethendiol-diOTMS,635,659,NA,C26H48O2Si2,limonox_L_blob_588,596,659,1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_0832_blob_1098,9.76E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,galactosan,564,585,1682.926829,1684,"2-Deoxypentofuranose, 3TMS derivative",676,714,NA,C14H34O4Si3,apin_ox_L_blob_551,627,698,1667,1,1,NA,0,0,1,1,1,1,1,1,-1,NA,0,0,0,1,NYC,,,
1221_0832_blob_1095,3.44E-05,0.401691493,0.176035915,-0.99107429,-0.043632724,-0.679083924,0.148344418,NA,NA,NA,NA,NA,NA,C7 acid,408,445,2090.37037,NA,Z-11-Tetradecenoic acid,730,772,NA,C14H26O2,bcp_ox_L_blob_787,537,570,2100,-1,-0.745284433,NA,0,-1,0.657447161,0.993889625,0.994762706,0.97606511,0.930715849,0.980993524,-1,NA,0,1,0,0.999625851,NYC,,,
1221_0832_blob_1087,5.27E-05,0.413769965,0.602880107,0.024262896,0.528816585,0.533504823,0.201369927,0.601691253,-0.237107431,-0.16797916,0.350652316,0.088234057,0.356247251,"beta-caryophyllinic acid, TMS",588,598,2056.296296,2060,"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-pentenyl]cyclohexan-1-perhydrol",644,661,NA,C14H24O4,limonox_S_blob_687,511,597,NA,0,0.432118264,NA,0,-0.628303936,0.662643026,0.468683369,0.633000463,0.995526644,0.541501959,-0.029304766,0,NA,-0.224493678,1,0.199093341,0.58350202,NYC,,,
1221_0832_blob_1086,0.000281929,0.501460692,-0.129934842,0.632324316,0.364888267,0.765984492,-0.094462318,NA,NA,NA,NA,NA,NA,farnesol,440,556,1846.979866,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",609,613,NA,C13H26BNO6Si,limonox_S_blob_756,609,647,1850,0.040566064,0.677058514,NA,-0.03321127,0.239201447,0.763889488,0.251196679,0.155330473,0.118485911,0.642963499,0.278759642,0.01262761,NA,0.999868717,0.586067574,0.83440028,0.84292171,NYC,,,
1221_0832_blob_1085,0.000129435,0.505015252,-0.250583297,0.641168967,0.406055261,0.915483706,0.185544195,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",462,655,1953.020134,1931,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",697,736,NA,C18H34OSi,limonox_S_blob_685,546,596,1963,-1,0.817515374,NA,0,0.999308513,0.927382205,0.520216097,0.763250089,0.649937663,0.91946515,0.465966116,-1,NA,0.895838877,0,0.352185546,0.815532584,NYC,,,
1221_0832_blob_1084,0.000282169,0.50127942,0.459472355,0.515784432,-0.033374566,0.361014081,-0.186331331,0.306726316,0.390045714,-0.097787043,-0.0256808,0.130918076,-0.062344898,C7 acid,509,537,1593.406593,NA,"6-Oxoheptanoic acid, TMS derivative",629,678,NA,C10H20O3Si,limonox_L_blob_5,792,793,1592,0.737160861,0.324196604,NA,0.692424508,0.545464754,0.678278041,0.550802541,0.601374845,0.533577694,0.792150078,0.779840174,0.561473266,NA,0.302314426,0.466050655,0.542599077,0.644559249,NYC,,,
1221_0832_blob_1080,0.000131039,0.689115156,-0.279352049,0.611903964,0.244774404,0.831205158,0.32198351,0.580264163,0.498241209,-0.256994336,-0.350755454,-0.240438399,-0.411151286,C7 acid,503,567,1603.658537,NA,"2-Oxooctanoic acid, TMS derivative",663,698,NA,C11H22O3Si,limonox_S_blob_729,780,802,1599,0.832153206,0.205685681,NA,-1,-0.511727128,0.966555211,0.695793948,0.784562094,0.419318478,0.894448385,0.754472962,0.576386021,NA,1,0.97253277,0,0.856958407,NYC,,,
1221_0832_blob_1076,1.43E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,400,431,1912.751678,NA,Deoxyspergualin,623,627,NA,C17H37N7O3,limonox_S_blob_716,434,444,1911,0,1,NA,0,0,1,0,0,0,1,-1,0,NA,0,0,-1,1,NYC,,,
1221_0832_blob_1073,0.000198089,-0.489502876,0.010396897,0.75181031,0.547887265,0.227907326,0.267314585,0.353912843,0.59853203,-0.346172136,-0.354531798,-0.027216523,-0.502729514,C7 acid,425,530,1790.243902,NA,"D-Gluco-Hexodialdodifuranoside, dimethyl 2,5-bis-O-(trimethylsilyl)-",645,716,NA,C14H30O6Si2,myrc_ox_L_blob_687,662,697,1796,-0.163900139,0.54488109,NA,0.453712886,0.901195383,0.905295734,-0.577735087,-0.55192653,-0.554651965,-0.132916788,0.095849825,-0.26616856,NA,0,0.947219634,1,0.974272811,NYC,,,
1221_0832_blob_1066,3.31E-05,0.494047934,0.030465557,0.255680393,-0.194671376,0.298389376,-0.166668117,NA,NA,NA,NA,NA,NA,C7 acid,425,523,1965.100671,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",626,644,NA,C13H26BNO6Si,limonox_S_blob_685,539,623,1963,0.982406096,0.444254938,NA,0,1,0.591494878,0.333581611,0.591598537,0.49757994,0.514163739,0.333326261,0.985741599,NA,1,0,-0.505803551,0.249067548,A,,,
1221_0832_blob_1064,0.000380835,0.699281653,0.430701262,0.723502032,0.094307401,0.767193243,-0.021776452,0.38416216,0.464761404,-0.156706322,-0.163831,-0.070303403,-0.336511606,C7 acid,466,521,1962.416107,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",663,687,NA,C18H34OSi,limonox_S_blob_685,642,669,1963,0.701166075,0.630399769,NA,0.588351928,0.458314865,0.909682452,0.584740779,0.525701291,0.349434176,0.943840404,0.774403725,0.508239393,NA,0.980897913,0.837945925,0.27881808,0.861595771,NYC,,,
1221_0832_blob_1063,1.86E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C12 diacid,482,491,2117.037037,2120,"3-(2-Hydroxyethyl)-2,2,4-trimethyl-3-cyclohexene-1-carbaldehyde, TBDMS derivative",640,682,NA,C18H34O2Si,limonox_S_blob_905,605,674,2120,1,1,NA,0,0,1,-1,1,1,1,1,1,NA,0,0,0,-1,NYC,,,
1221_0832_blob_1058,0.000457297,0.67966128,0.18293916,0.622623669,0.474423154,0.798303917,0.069598794,0.357751984,0.434123695,-0.013675404,-0.128512195,0.01414337,-0.073060921,pinic acid 1,520,597,1681.707317,1692,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",639,640,NA,C13H26BNO6Si,myrc_ox_L_blob_691,741,759,1677,0.32706924,0.72413983,NA,-0.032526426,0.21653542,0.874543124,0.53949684,0.457303742,0.307965717,0.838491157,0.533882262,0.291814103,NA,0.835835837,0.824505416,0.545564291,0.807386694,NYC,,,
1221_0832_blob_1054,0.000156887,0.871517375,0.556883252,0.304688941,0.335449024,0.493326594,0.229919519,NA,NA,NA,NA,NA,NA,C7 acid,415,424,1570.32967,NA,"Octan-2-one, 3,6-dimethyl-",646,748,NA,C10H20O,myrc_ox_L_blob_596,537,558,1565,0.643853667,0.298040827,NA,-0.024914358,-0.647399119,0.663048698,0.842977926,0.818170639,0.719769643,0.745298637,0.550191514,0.639726298,NA,0.360838371,0.656432364,0.895084078,0.806485434,NYC,,,
1221_0832_blob_1051,0.00010464,0.499101686,0.182466604,0.120850713,0.301676256,0.432567243,0.026917415,NA,NA,NA,NA,NA,NA,"beta-nocaryophyllonic acid, TMS",433,490,1995.973154,1985,"4,6-Dioxa-3,7-disilanonane, 2,2,3,3,7,7,8,8-octamethyl-5-[2-methyl-2-(4-methyl-3-pentenyl)cyclopropyl]-, trans-",611,613,NA,C23H48O2Si2,limonox_S_blob_788,508,553,1989,0.023616179,0.573631428,NA,-0.18336284,0.433763369,0.499889396,0.439703771,0.280956154,0.055755528,0.47488373,0.125686122,-0.04519439,NA,0,0.333481242,0.704331265,0.505528657,NYC,,,
1221_0832_blob_1036,0.001077744,0.477054967,0.289048618,0.591746199,0.073455052,0.423440848,-0.115638093,0.451596388,0.380578457,0.198128338,-0.026078978,0.034626601,-0.046217388,C7 acid,480,535,1657.317073,NA,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone, tris(trimethylsilyl)-",772,822,NA,C14H32O5Si3,apin_ox_L_blob_551,669,695,1667,0.542700028,0.404349904,NA,0.477345573,0.26814834,0.76010651,0.404859934,0.383384454,0.291804766,0.781028699,0.588024579,0.298915458,NA,0.682850388,0.707286906,0.895404087,0.815684749,NYC,,,
1221_0832_blob_1033,4.82E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,367,497,1995.973154,NA,"4,6-Dioxa-3,7-disilanonane, 2,2,3,3,7,7,8,8-octamethyl-5-[2-methyl-2-(4-methyl-3-pentenyl)cyclopropyl]-, trans-",596,600,NA,C23H48O2Si2,limonox_S_blob_788,481,518,1989,1,1,NA,0,0,1,1,1,0,1,-1,1,NA,0,0,0,1,NYC,,,
1221_0832_blob_1032,0.000597356,0.693117106,0.477133195,0.474721108,-0.12350992,0.272476083,-0.215492828,0.444949316,0.41703076,-0.135569162,-0.125211073,-0.045227267,-0.345722823,C7 acid,391,474,1748.780488,NA,"1,12-Dodecanediol, 2TMS derivative",586,607,NA,C18H42O2Si2,myrc_ox_L_blob_573,542,579,1757,0.82785069,0.108352247,NA,0.522220825,0.312142821,0.660673954,0.656455188,0.6863864,0.632216014,0.832655341,0.714137672,0.743081565,NA,0.0953604,0.689712663,0.797872837,0.569645232,NYC,,,
1221_0832_blob_1029,0.000112678,0.842210069,0.547932375,0.245707351,0.21113176,0.44613955,0.051918516,-0.028916226,0.852214293,0.96334297,0.056499654,0.291383603,0.199797879,"2-Ketoglutaric acid, tri-TMS",508,529,1629.268293,1629,"3-Octen-2-ol, (E)-, TMS derivative",634,710,NA,C11H24OSi,apin_ox_L_blob_530,675,691,1629,0.851944144,0.561591092,NA,0.371119639,0.379648485,0.751298751,0.822336945,0.884463715,0.887996612,0.779894699,0.676593698,0.902287502,NA,0.817645995,0.938727795,0.538605633,0.682135681,NYC,,,
1221_0832_blob_1028,0.000130822,0.278970204,0.067292267,-0.393748086,0.157219106,0.474221575,0.204340406,0.999899241,0.866634444,0.543081346,0.985062254,-0.732613492,-0.833299458,MBTCA,608,639,1778.04878,1776,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,682,NA,C13H26BNO6Si,apin_ox_S_blob_708,625,691,1784,-0.137588457,0.281623863,NA,-1,-0.326159789,0.39336106,0.435861541,0.213738598,0.187708679,0.192788647,0.031845338,0.754241723,NA,0,-0.147446073,0.17474038,0.5431483,NYC,,,
1221_0832_blob_1026,2.39E-05,0.110698285,0.074835987,0.071881257,0.145988473,0.456348321,-0.244650348,NA,NA,NA,NA,NA,NA,farnesol,588,629,1829.530201,1832,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",653,669,NA,C13H26BNO6Si,limonox_L_blob_611,611,651,1835,0,0.268420142,NA,0,0,0.100351794,0.056463411,-0.258456812,1,-0.112137446,-0.179853509,0,NA,1,0,0.854971913,-0.104234008,NYC,,,
1221_0832_blob_1022,0.000870679,0.68339722,0.200043673,0.605554158,0.505678923,0.774302381,0.106484631,0.149303349,0.089531258,0.004310984,0.137560514,0.264474084,0.145726464,bisabolol,520,537,1768.292683,1770,Epimethendiol-diOTMS,641,672,NA,C26H48O2Si2,limonox_L_blob_6,716,719,1768,0.234022644,0.730461319,NA,-0.063525068,0.809768301,0.829965467,0.516562195,0.472463347,0.343248672,0.869542057,0.500794588,0.381579966,NA,0.68718659,0.618096329,0.443331689,0.536551696,NYC,,,
1221_0832_blob_1019,0.000272654,0.594346373,0.366044562,0.388422748,0.095341302,0.226943794,-0.400896277,0.577717784,-0.074217455,-0.277495949,-0.20000168,-0.09497292,-0.345254974,C7 acid,475,516,1671.95122,NA,"Malic acid, 2TMS derivative",626,644,NA,C10H22O5Si2,apin_ox_L_blob_548,646,665,1663,0.925122273,0.44831941,NA,0.452711228,1,0.93873661,0.916328287,0.875200733,0.790320071,0.860757991,0.840862273,0.934434433,NA,0,0.713649693,0,0.98231551,NYC,,,
1221_0832_blob_1018,0.000244178,0.824946716,-0.006498025,0.641184524,0.86251109,0.898042151,0.122539022,0.133917283,0.211728861,0.263818439,-0.005896572,-0.062976542,0.112361302,C7 acid,503,549,2020.740741,NA,"[1-(3,3-Dimethyloxiran-2-ylmethyl)-3,7-dimethylocta-2,6-dienyl]trimethylsilane",654,675,NA,C18H34OSi,limonox_S_blob_687,490,572,NA,-0.757643849,0.982663605,NA,0,1,0.998187899,0.288133424,0.204226143,0.459530986,0.9025813,0.400956429,-0.431403762,NA,1,1,0.989783085,0.993564092,NYC,,,
1221_0832_blob_1014,1.96E-05,0.834980943,0.956748881,-0.502767452,0.621359357,0.959756376,-0.666074923,NA,NA,NA,NA,NA,NA,squalene,419,440,2870.707071,2868,"Phthalic acid, butyl undecyl ester",768,819,NA,C23H36O4,apin_ox_S_blob_592,288,309,NA,0,0.978821563,NA,0,0,0.975303166,0.968610562,1,0,0.897794422,0.969967069,0,NA,0,0,-1,0.065244178,NYC,,,
1221_0832_blob_1012,0.000299895,NA,NA,NA,NA,NA,NA,0.457812699,0.443640807,-0.091034666,-0.057822857,0.104481452,-0.129007526,C7 acid,466,525,1860.402685,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",653,656,NA,C13H26BNO6Si,myrc_ox_L_blob_699,608,657,1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1221_0832_blob_1009,0.00022418,0.667074567,0.672295055,-0.172813566,0.098958578,0.023993136,0.331031999,-0.015158238,-0.094044395,-0.003393215,-0.219904538,-0.29252084,-0.148964047,C25,407,738,2580.701754,2545,"Sulfurous acid, butyl tetradecyl ester",776,866,NA,C18H38O3S,apin_ox_S_blob_592,286,310,NA,0.758846555,0.551318386,NA,0,0.295358208,0.621750466,0.608746721,0.566950853,0.597513748,0.572358041,0.268241739,0.660090959,NA,-0.316200327,0.710945367,0.186918764,0.073185752,NYC,,,
1221_0832_blob_1000,0.000890802,0.818388772,0.550746741,0.533805659,0.225343856,0.588277242,0.000511241,0.260333475,0.225644333,0.163762472,0.293367242,0.406478699,0.244365263,C7 acid,447,512,1784.146341,NA,Ethyltrimethylsilyl dipropylmalonate,644,655,NA,C14H28O4Si,limonox_L_blob_588,778,796,1781,0.791176938,0.610657994,NA,0.685218652,0.651513545,0.84974837,0.798278233,0.788306204,0.71379598,0.90778006,0.682423998,0.78627442,NA,0.667884052,0.721777054,0.461548355,0.715615293,NYC,,,
1221_0832_blob_100,0.002556242,0.434484484,0.530069105,0.418775069,-0.087894301,0.258064462,-0.160674387,0.347054559,0.19708558,0.158182937,-0.056746188,-0.168450858,-0.22622833,phthalic acid,908,908,1714.634146,1714,tert-Butylpentamethyldisiloxane,679,784,NA,C9H24OSi2,limonox_S_blob_633,597,645,NA,1,0.09420052,NA,0.544352336,0.572505058,0.659486158,0.53985281,0.608544918,0.589507866,0.604434979,0.618102187,0.928838622,NA,-0.488987499,0.53865079,0.588156314,0.334699027,A,MT,M,"is phthalic acid, but correlates very well with MT- reason tbd"
1216_0703_blob_940,1.15E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,428,487,2042.647059,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",687,716,NA,C13H27Cl3O4Si2,apin_ox_S_blob_592,467,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1216_0703_blob_899,3.06E-05,NA,NA,NA,NA,NA,NA,0.013968593,-0.170013756,-0.652220606,-0.692971862,-0.490701503,-0.655568461,C7 acid,405,487,2097.058824,NA,"2-Penten-2,4-diol, 4-methyl-, bis(trimethylsilyl)ether",646,693,NA,C12H28O2Si2,apin_ox_S_blob_592,455,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1216_0703_blob_849,2.59E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,392,488,2089.705882,NA,"Pentitol, 3-desoxy-tetrakis-O-(trimethylsilyl)-",654,682,NA,C17H44O4Si4,limonox_S_blob_1216,475,518,2098,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,,,
1216_0703_blob_779,9.05E-05,NA,NA,NA,NA,NA,NA,0.540949814,0.288394124,-0.690650918,-0.206059309,0.060569311,-0.14203988,C7 acid,384,478,2107.352941,NA,"2-Penten-2,4-diol, 4-methyl-, bis(trimethylsilyl)ether",668,720,NA,C12H28O2Si2,limonox_S_blob_633,446,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1216_0703_blob_648,0.000244458,NA,NA,NA,NA,NA,NA,0.699716341,-0.081656639,-0.460393485,-0.222222077,-0.312328418,-0.364133491,C7 acid,462,506,2167.647059,NA,"Malic acid, 2TMS derivative",632,643,NA,C10H22O5Si2,limonox_S_blob_633,486,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1216_0703_blob_1095,4.55E-05,NA,NA,NA,NA,NA,NA,0.440602663,0.054311523,0.159257371,0.217417429,0.356840411,0.236003197,"beta-caryophyllinic acid, TMS",392,533,2069.117647,2060,"Pentitol, 3-desoxy-tetrakis-O-(trimethylsilyl)-",665,697,NA,C17H44O4Si4,limonox_S_blob_687,400,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1213_2145_blob_983,7.80E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,levoglucosan,490,533,1731.707317,1726,"Trimethylsilyl 3,5-bis(trimethylsilyloxy)-3-methylvalerate",657,693,NA,C15H36O4Si3,myrc_ox_L_blob_547,576,612,1723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1213_2145_blob_976,0.000943896,0.469036195,-0.326166108,0.356120399,0.67280873,0.873872062,0.775049914,0.171563691,-0.359247625,0.074664589,0.652292387,0.826091099,0.83455644,C7 acid,612,630,3488.172043,NA,"Undecanoic acid, 11-fluoro-, trimethylsilyl ester",750,800,NA,C14H29FO2Si,limonox_S_blob_687,565,590,NA,0.00036054,0.704776493,NA,0.018546216,0.328122956,0.614764973,0.239126064,0.274146273,0.195805523,0.503759533,-0.015630001,0.366340167,NA,1,-0.745148177,0.762934196,0.280445735,NYC,,,
1213_2145_blob_971,3.61E-05,NA,NA,NA,NA,NA,NA,0.305058204,0.617381815,-0.1824919,0.162512163,0.239928755,-0.218836082,C7 acid,416,537,1987.919463,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",642,656,NA,C13H26BNO6Si,limonox_S_blob_685,494,653,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1213_2145_blob_965,5.25E-05,NA,NA,NA,NA,NA,NA,0.495178588,0.666907351,-0.061877301,-0.306934054,-0.459877727,-0.583005275,C7 acid,423,489,1797.560976,NA,"1,2,5,6-Hexanetetrol, tetrakis-O-(trimethylsilyl)-",653,845,NA,C18H46O4Si4,myrc_ox_L_blob_687,624,644,1796,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NYC,,,
1213_2145_blob_956,7.61E-05,NA,NA,NA,NA,NA,NA,0.616278102,-0.139352568,-0.474520352,-0.320037158,-0.437967417,-0.432133198,C7 acid,444,506,1981.208054,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",664,704,NA,C13H27Cl3O4Si2,limonox_S_blob_685,578,660,1963,1,1,NA,0,0,1,1,1,1,1,1,1,NA,0,1,0,0,NYC,,,
1213_2145_blob_954,0.000166545,0.691203595,0.003893044,0.779597292,0.015009827,0.693815351,0.36224098,0.500645456,0.516328911,-0.29544181,-0.172838713,0.052590288,-0.198186094,C10 diacid (sebacic acid),498,535,1915.436242,1922,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",700,715,NA,C13H26BNO6Si,limonox_S_blob_725,587,727,1893,-0.077836442,0.424699263,NA,-0.080399296,0.278165182,0.869922496,0.284746094,0.217252149,0.198702685,0.933620992,0.674630545,-0.335318284,NA,0.995457767,0.870028424,-1,0.754340346,NYC,,,
1213_2145_blob_938,0.000177735,NA,NA,NA,NA,NA,NA,0.273503417,0.322151033,-0.07761217,0.003487166,0.208789117,0.063821621,galactosan,435,479,1684.146341,1684,"Acetopyruvic acid, tris(trimethylsilyl)-",676,697,NA,C14H30O4Si3,apin_ox_S_blob_592,554,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,
1213_2145_blob_925,0.00020204,-0.402864146,-0.35144343,0.04934892,0.798842156,0.827567366,0.650646576,0.45450899,0.285939783,-0.136631472,-0.049368927,0.070374331,-0.058454747,C7 acid,444,530,1995.973154,NA,"a-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",662,673,NA,C14H31BO6Si2,limonox_S_blob_788,527,585,1989,-0.207162404,0.777955889,NA,0.65690204,0.404316826,0.417763004,-0.658056388,-0.636453539,-0.416698315,0.053943804,-0.156119159,-0.227953101,NA,0,0.420257477,0,0.803122209,NYC,,,
1213_2145_blob_907,0.000139008,0.707577094,0.322406446,0.201406506,0.466535203,0.632164372,-0.280541096,0.473812195,0.564389843,-0.171107714,-0.198718355,-0.191794193,-0.467640853,C7 acid,480,588,1881.879195,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",663,693,NA,C13H26BNO6Si,limonox_S_blob_725,583,656,1893,0.97634573,0.767887074,NA,0.943497187,0.971448852,0.988284284,0.824758481,0.823128949,0.908061712,0.575350961,0.891355937,0.999320766,NA,0,-0.21919118,0,-0.471350231,A,,,
1213_2145_blob_906,6.25E-05,0.983455449,-0.912028823,0.820940264,-0.188859313,0.034011793,-0.974451121,0.139764189,0.340914382,0.028394582,0.125876511,0.08185105,-0.238771747,C7 acid,463,514,1771.95122,NA,"Malic acid, 2TMS derivative",643,665,NA,C10H22O5Si2,myrc_ox_L_blob_708,587,645,1758,0.78532321,0.24493993,NA,-0.621296833,0,0.838038037,0.976219782,0.889307137,0.770002891,0.57355679,0.60211251,0.814238267,NA,0,-1,0,1,NYC,,,
1213_2145_blob_894,0.000208472,0.635393761,-0.712855642,0.36883335,0.521989876,0.923526706,-0.742685082,0.391427012,0.424379564,-0.462938646,-0.348580774,0.278833776,-0.204285214,C7 acid,370,462,1863.087248,NA,"trans-4-(Hydroxymethyl)cyclohexanecarboxylic acid, O-trimethylsilyl, trimethylsilyl ester",627,655,NA,C14H30O3Si2,limonox_S_blob_649,625,647,1868,0.309874214,0.674862731,NA,0.07253912,-0.434075542,0.646566742,0.364296093,0.458775902,0.894106688,0.575131805,0.33067707,0.626115469,NA,-1,0.252543577,-1,0.66974095,NYC,,,
1213_2145_blob_882,0.000147638,0.999851409,-0.743168003,0.860240342,-0.572748782,-0.606591357,-0.963142383,0.654401866,-0.077579911,-0.211980646,0.095284132,0.095163615,0.0319122,farnesol,439,480,1833.557047,1832,"1,3,5-Pentanetriol, 3TMS derivative",657,674,NA,C14H36O3Si3,apin_ox_S_blob_616,562,589,1823,0.27108793,-0.669956906,NA,-0.466172448,0,-1,0.679322442,-0.350257552,-0.998437214,-0.841482286,-0.722882064,0.21976495,NA,0,-1,0,0,NYC,,,
