Compound.Name,cumsum_ISnormnorm,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat2,man_cat2_alternate,man_cat2_certainty,man_cat2_notes,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes
1221_0832_blob_820,0.00121643,0.726403223,0.532093547,0.53767384,0.324343544,0.583008188,0.070903442,0.678642192,0.346005118,0.100453275,-0.028249223,0.287367578,-0.053950926,levoglucosan,599,627,1729.268293,1726,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",642,644,NA,C14H31BO6Si2,362,limonox_S_blob_593,648,655,1732,0.406435111,0.589363098,NA,0.410519725,0.402564971,0.811292654,0.736413764,0.795419526,0.61093424,0.744807703,0.428465905,0.508271982,0,NA,0.952601792,0.845320444,0.725177619,SQ,BB,L,,SQ,BB,L,"best corr with sq4 but reasonable with BB, not a lot of chem info"
1221_0832_blob_819,0.000102715,0.375143494,0.52142643,0.143811917,0.180273758,0.178887565,0.459314062,NA,NA,NA,NA,NA,NA,C26,473,747,2680.373832,2649,"Sulfurous acid, butyl heptadecyl ester",808,847,NA,C21H44O3S,376,apin_ox_S_blob_751,312,335,NA,0,-1,NA,0,0,0,-1,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_0832_blob_818,3.06E-05,0.799245282,0.882095092,0.466023522,-0.262357118,0.739744487,-0.156185094,NA,NA,NA,NA,NA,NA,C30,556,691,3043.478261,3058,tert-Hexadecanethiol,771,778,NA,C16H34S,258,apin_ox_S_blob_751,380,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_817,5.83E-05,0.882920426,0.768513225,0.649999211,-0.203615623,0.810324587,-0.096033307,NA,NA,NA,NA,NA,NA,C30,303,743,3104.347826,3058,Docosyl octyl ether,769,825,3056,C30H62O,438,apin_ox_S_blob_751,344,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_815,0.000306052,0.506391614,0.032727252,0.468594315,0.12514185,0.362787181,-0.11439059,0.295372155,0.271168549,-0.610287232,-0.096641972,0.656441165,-0.251603288,C7 acid,454,542,1743.902439,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",672,673,NA,C14H31BO6Si2,362,limonox_S_blob_888,611,664,1750,0.022326239,0.679400292,NA,0.50200789,-0.375998063,0.244070894,0.763681432,0.698830728,0.177348282,0.461039167,-0.127324787,0.099370401,0,NA,1,0,0.011746906,NYC,,,,,,,
1221_0832_blob_811,5.41E-05,0.4380609,0.569770806,-0.12857775,0.090568572,0.460515404,-0.337882872,-0.623549641,-0.121155626,-0.08385265,0.925269772,0.911366503,0.864160638,C7 acid,400,470,1954.362416,NA,"Erythritol, 4TMS derivative",719,812,NA,C16H42O4Si4,410,limonox_S_blob_685,533,550,1963,-0.096088255,0.924633939,NA,0.934662349,0.899947067,0.957330018,-0.539201115,-0.319720156,0.488045482,-0.335212721,0.994747251,-0.090096268,0,NA,0,0,0.998695731,NYC,,,,,,,
1221_0832_blob_808,0.000834585,0.689075273,0.21188192,-0.176235701,0.137489663,0.299759733,-0.070083972,0.233175939,0.133127959,0.244490089,0.207609868,0.303054006,0.286489569,C21,556,594,2142.222222,2137,"2(3H)-Furanone, 5-dodecyldihydro-",802,845,2105,C16H30O2,254,apin_ox_S_blob_751,361,449,NA,0.096533097,0.573932054,NA,0.524501211,0.56107143,0.757985225,0.405491104,0.46480364,0.286845203,0.574110342,0.590320832,0.312813914,0.286060836,NA,0,0.8791066,0.433194733,NYC,,,,,,,
1221_0832_blob_807,0.001255977,0.664957682,0.320377175,0.615346836,0.25703741,0.595927394,0.099633783,0.395738495,0.415554847,0.118107963,-0.189005912,-0.168636302,-0.256742214,C7 acid,405,451,1595.604396,NA,"Silane, [(1-methoxy-1,3-propanediyl)bis(oxy)]bis[trimethyl-",721,797,NA,C10H26O3Si2,250,limonox_S_blob_730,621,634,1595,0.162200164,-0.081038106,NA,-0.106736548,-0.230114472,0.265263866,0.552862018,0.642997611,0.337585075,0.821234429,0.550685195,0.248194888,0.414875609,NA,0.37034701,0.642640166,0.590430692,MT,,M,,MT,SQ,M,"not much chem info, but best corr with MT1"
1221_0832_blob_805,0.000920552,0.334329058,0.254246421,0.610339515,-0.02107169,0.478994226,-0.163847529,0.233972648,0.44983503,0.085213844,-0.180040189,-0.193636664,-0.194338785,C7 acid,466,544,1746.341463,NA,"Isoxazolo[2,3-b]benz[1,2]oxazine, perhydro-2-methoxycarbonyl-10-methyl-5a-trimethylsilyloxy-",646,649,NA,C16H29NO5Si,343,limonox_S_blob_888,593,622,1750,0.333764806,0.013585959,NA,-0.027849678,0.007382399,0.452951653,0.561436052,0.645548089,0.297180036,0.803571263,0.615746095,0.453375463,0.019371447,NA,0.653055306,0.778953808,0.629868533,NYC,,,,,,,
1221_0832_blob_802,0.000125406,0.089051767,0.560504641,-0.163900971,0.041042589,0.012831637,0.494214759,NA,NA,NA,NA,NA,NA,C28,430,643,2828.282828,2852,tert-Hexadecanethiol,756,762,NA,C16H34S,258,apin_ox_S_blob_751,330,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,,,,,,,
1221_0832_blob_801,0.000835328,0.79905579,0.461247203,0.404848789,0.048679327,0.483546084,-0.087149587,0.492817455,0.48989151,-0.176438359,-0.268081652,-0.033967024,-0.175911638,C7 acid,515,583,1725.609756,NA,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",603,618,NA,C11H22B2O6Si,300,limonox_L_blob_578,612,631,1728,0.269353224,0.152296524,NA,0.289430912,0.129180986,0.711290893,0.648558163,0.762465614,0.41621743,0.933511708,0.58753525,0.466551247,1,NA,0.430430914,-0.081985404,0.698153137,NYC,,,,,,,
1221_0832_blob_8,0.00120082,0.854522769,0.635248204,-0.003487645,-0.22579984,0.00863066,-0.343340811,-0.358175408,-0.143350573,0.366688812,0.830368314,0.457837466,0.085443542,C7 acid,469,480,1786.585366,NA,"Methyl 2,2-dimethyl-3,6,9,12-tetraoxa-2-silatetradecan-14-oate",822,825,NA,C12H26O6Si,294,myrc_ox_L_blob_562,497,507,1792,-1,0.310906377,NA,0,0,0.945380496,-0.423871629,-0.034361819,-1,0.140711976,-0.367585027,0,0,NA,0,0,0.147385862,BB,,L,,MT,ISOP,L,v high corr with MT1 and MT3 but IEPOX SOA very high and ISOP corr good too
1221_0832_blob_797,0.001814739,0.256099779,0.716756904,0.043885969,0.057010658,-0.11938314,-0.215454436,0.448469675,-0.13023778,-0.097794002,-0.097362977,-0.105416092,-0.139567725,C10 diacid (sebacic acid),354,356,1918.120805,1922,4-Propylacridine,649,671,NA,C16H15N,221,apin_ox_S_blob_592,394,574,NA,0.751120869,-0.058025324,NA,-0.045087149,-0.107597714,0.080241612,0.063354328,0.17904215,0.817517573,-0.006784283,0.00849965,0.664359428,0.527170335,NA,-0.00723329,0.598936208,0.362741982,ISOP,,M,,SQ,BB,L,terrible corr with ams bb factor - looks biogenic could be SQ or MT but correlates annoyingly well with BB4
1221_0832_blob_796,0.001397314,0.873049771,0.156660236,0.468423572,-0.029926552,0.493688157,-0.141245965,0.469015165,0.480128664,-0.070988045,-0.244159637,-0.143407859,-0.273982086,C7 acid,410,465,1798.780488,NA,"cis-1,4-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",681,692,NA,C14H28O4Si2,316,myrc_ox_L_blob_594,825,834,1793,0.344327365,-0.051838743,NA,-0.006764939,-0.174518326,0.323216206,0.471893869,0.644324949,0.520066964,0.869530736,0.371196942,0.502245218,0.510181164,NA,0.588125672,0.859599781,0.713957432,MT,SQ,L,in mt ox ,MT,SQ,L,"good MT, ISOP, and SQ corr but found in MT ox chamber expt. Also note very high IEPOX corr"
1221_0832_blob_791,1.18E-05,0.9948002,0.865678694,0.861615561,0.07450393,0.344641469,-0.998473102,NA,NA,NA,NA,NA,NA,C7 acid,558,575,1861.744966,NA,"Tripropylene glycol monomethyl ether, TMS derivative",749,790,NA,C13H30O4Si,278,limonox_S_blob_649,532,538,1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_790,6.15E-05,0.525476498,0.810377923,-0.281748515,0.111701615,-0.016089382,0.48701328,NA,NA,NA,NA,NA,NA,C28,497,628,2836.363636,2852,2-Methyl-Z-4-tetradecene,736,751,NA,C15H30,210,apin_ox_S_blob_751,357,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_787,0.0001241,0.584058554,0.562167503,0.071996561,0.228422732,0.08594095,0.605365682,NA,NA,NA,NA,NA,NA,C27,279,742,2700.934579,2750,"Tetracontane, 3,5,24-trimethyl-",793,865,NA,C43H88,604,apin_ox_S_blob_751,320,349,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_0832_blob_786,0.00086857,0.613389058,0.035944783,0.614921163,0.406103945,0.535490937,-0.286569961,0.447164063,0.401709243,0.034168322,-0.202537374,-0.138654583,-0.218749746,pinic acid 1,595,628,1693.902439,1692,"Hexanedioic acid, 2-trimethylsilyloxy-, bis(trimethylsilyl) ester",686,781,NA,C15H34O5Si3,378,myrc_ox_L_blob_735,680,727,1703,0.347244157,-0.020008497,NA,-0.033580085,-0.209839164,0.34577033,0.550721869,0.70285185,0.497182842,0.907688241,0.482411242,0.478237573,0.449454093,NA,0.393874755,0.846004599,0.74369695,NYC,,,,,,,
1221_0832_blob_785,0.000972577,-0.055158802,-0.151132883,-0.026794212,0.205570987,0.345280673,0.420613834,0.166435206,-0.268371362,0.128729825,0.596229233,0.725222271,0.909549559,C31,822,830,3156.521739,3159,"Sulfurous acid, octadecyl pentyl ester",812,855,NA,C23H48O3S,404,apin_ox_S_blob_751,314,342,NA,-0.206341724,0.751424836,NA,0.353163282,0.603873666,0.644430095,0.218608676,0.192343311,-0.160633762,-0.056540545,0.062026735,-0.196253122,0.214879586,NA,0.242668213,0.327802112,0.054807704,NYC,,,,,,,
1221_0832_blob_784,8.24E-05,0.905482092,0.659000065,0.767013472,-0.105447206,0.823711974,-0.083640282,NA,NA,NA,NA,NA,NA,C31,454,733,3128.26087,3159,tert-Hexadecanethiol,767,773,NA,C16H34S,258,apin_ox_S_blob_751,366,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_781,3.47E-05,0.687798293,0.51962091,0.548190674,-0.244123103,0.207892559,-0.334141139,NA,NA,NA,NA,NA,NA,C30,492,728,3084.782609,3058,tert-Hexadecanethiol,754,760,NA,C16H34S,258,apin_ox_S_blob_751,339,375,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_0832_blob_778,5.15E-05,0.851262764,0.766871907,0.179129124,-0.104937539,0.875134504,-0.298640007,NA,NA,NA,NA,NA,NA,C29,656,702,2947.474747,2955,"Tridecane, 6-cyclohexyl-",750,811,NA,C19H38,266,apin_ox_S_blob_751,344,378,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_0832_blob_777,0.000365686,0.588735432,0.092546572,0.840724658,0.314708952,0.74917761,0.014600426,0.594913288,0.501423289,-0.160150086,-0.179300679,-0.007484267,-0.531708981,C7 acid,557,604,1746.341463,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",668,733,NA,C15H30O5Si,318,limonox_S_blob_888,637,662,1750,0.67541203,0.240022464,NA,0.558456159,0.254260634,0.660909821,0.553965323,0.694080055,0.871217164,0.814310629,0.484453282,0.80497366,0,NA,1,0.900507051,0.763716985,NYC,,,,,,,
1221_0832_blob_773,7.52E-06,NA,NA,NA,NA,NA,NA,-0.060153058,-0.948227998,-0.964088821,-0.999885931,-0.284576627,-0.811198602,C7 acid,514,520,1317.407144,NA,"Ethyltriethylene glycol, TBDMS derivative",739,774,1633,C14H32O4Si,292,apin_ox_L_blob_550,620,640,1307,0,-0.396172575,NA,0,0,-0.717366858,0.99268427,0.981944334,0,-0.769441758,0.952488169,0,0,NA,0,-1,1,NYC,,,,,,,
1221_0832_blob_771,0.000169533,0.664347713,0.260524267,0.276563597,-0.001322379,0.238784855,-0.27489888,0.801087831,0.063457075,-0.792466212,-0.216085879,-0.402000877,-0.624639292,"2-Ketoglutaric acid, tri-TMS",580,697,1645.121951,1629,"3,4-Dimethyl-1-pentamethyldisilyloxycyclohexane",701,770,NA,C13H30OSi2,258,myrc_ox_L_blob_649,628,639,1644,0.899078273,0.010424724,NA,0.725570658,-0.125320722,0.419186485,0.700651635,0.718386901,0.917977338,0.31864911,0.400548303,0.862971112,0,NA,0.643430049,0,0.199157631,NYC,,,,,,,
1221_0832_blob_768,3.02E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C30,453,715,3030.434783,3058,"1-Dodecanol, 2-octyl-",750,797,NA,C20H42O,298,bcp_ox_L_blob_18,339,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_764,5.74E-05,0.001629336,0.597734147,-0.200065006,-0.364576382,-0.366771189,0.4391599,NA,NA,NA,NA,NA,NA,C29,526,731,2931.313131,2955,tert-Hexadecanethiol,764,770,NA,C16H34S,258,apin_ox_S_blob_751,332,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_762,0.000524007,0.774754345,0.118233192,0.468099141,-0.187773313,0.411398927,-0.17793734,0.20065218,0.879422189,-0.167692482,0.13536322,0.188465188,-0.577466057,C7 acid,544,595,1718.292683,NA,"2-Hexenoic acid, 5-(1-ethoxyethoxy)-, (2-trimethylsilyl)ethyl ester",659,681,NA,C15H30O4Si,302,apin_ox_S_blob_677,578,659,1709,-0.058199093,0.055828146,NA,0.55595858,0.609447251,0.668397521,0.392921931,0.611861366,0.161507124,0.781699808,0.614781411,0.33311835,0,NA,0.570773061,0,0.780232107,NYC,,,,,,,
1221_0832_blob_759,0.002843544,0.667144793,0.458215143,0.439759539,0.000655556,0.264307239,-0.119533236,0.441368743,0.463725145,-0.042372521,-0.189996733,-0.1271513,-0.227423911,C7 acid,499,560,1693.902439,NA,2-Isopropyl-3-keto-trimethylsilylbutyrate,698,740,NA,C10H20O3Si,216,limonox_S_blob_713,565,585,1699,0.270977597,0.041129813,NA,0.166695875,-0.138206282,0.543484875,0.599161596,0.736344219,0.447487364,0.904016991,0.381199029,0.432806785,0.612724261,NA,0.268814769,0.886322425,0.664948383,MT,SQ,L,all from corr and looks decent with both,ISOP,BB,L,great corr with BB3 but I am not sure I trust it- much better corr with biogenic PMF's and corr with ISOP tracers is decent
1221_0832_blob_758,4.18E-05,NA,NA,NA,NA,NA,NA,0.412553525,0.420808492,0.545350501,0.145460431,0.264079426,0.552651306,gamma dodecalactone,850,859,1709.756098,1709,10-Methylundecan-4-olide,781,821,1659,C12H22O2,198,bcp_ox_L_blob_729,453,453,1704,0.313213754,0.573610681,NA,0.238921982,0.513528038,0.59588154,0.177066403,0.312458546,0.10781521,0.487819691,0.601236606,0.261686086,0,NA,0,1,0.780466787,NYC,,,,,,,
1221_0832_blob_756,0.000347753,0.708118829,0.154795414,-0.127452766,0.251028322,0.427345743,-0.073570037,0.715913293,-0.087064455,0.217759881,0.864911961,0.172541154,0.59181183,C19,511,591,1924.832215,1934,"1-Decanol, 10-[(tetrahydro-2H-pyran-2-yl)oxy]-",730,761,NA,C15H30O3,258,bcp_ox_L_blob_625,508,508,1920,0.976734064,0.782141787,NA,0.21908372,0.380664128,0.935051284,0.884050392,0.8742334,0.830332156,0.539834517,0.683959218,0.972834855,0,NA,0,0.591344852,0.624994773,A,,,,,,,
1221_0832_blob_752,7.10E-05,0.143040669,0.515736646,0.283925901,-0.210311281,-0.041991583,0.086322626,NA,NA,NA,NA,NA,NA,C29,532,772,2983.838384,2955,"Sulfurous acid, octadecyl 2-propyl ester",784,850,NA,C21H44O3S,376,apin_ox_S_blob_751,328,360,NA,0,1,NA,0,0,1,-1,1,0,1,0,0,0,NA,0,1,0,NYC,,,,,,,
1221_0832_blob_749,0.000276877,0.328792251,0.529458959,0.241706686,0.297400308,0.393164008,0.416463147,0.375795908,0.573972756,0.590176445,0.470187383,0.438631946,0.377965423,pinic acid 2,563,597,1700,1697,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",674,706,NA,C11H22B2O6Si,300,limonox_S_blob_648,648,676,1709,0.422152722,0.548788166,NA,0.131303683,0.158385051,0.589338448,0.433875381,0.476933229,0.488663029,0.418813878,0.31653824,0.055326282,0.781259676,NA,0,0.388025884,0.361284243,NYC,,,,,,,
1221_0832_blob_748,0.00072972,0.603444774,0.501304082,0.512665538,0.025054879,0.392686638,-0.069559163,0.413284291,0.45428774,0.096761181,-0.131275293,-0.125890844,-0.212054729,"2-Ketoglutaric acid, tri-TMS",552,612,1636.585366,1629,"3 Hydroxy-2,3-didehydrosebacic acid, tris(trimethylsilyl) derivative",725,824,NA,C19H40O5Si3,432,myrc_ox_L_blob_613,620,665,1627,0.325053254,0.001924865,NA,-0.058708999,-0.128281884,0.441055458,0.590860443,0.733731335,0.494504443,0.880787883,0.640818511,0.430053993,0.409462301,NA,0.501670212,0.814517928,0.737011119,NYC,,,,,,,
1221_0832_blob_747,0.002176742,0.40153116,0.179155846,0.401799148,0.571232183,0.652001037,0.235653705,-0.070334071,-0.351555902,-0.031202738,0.512496409,0.739344648,0.441219012,pinic acid 2,353,596,1701.219512,1697,"2,6-dimethoxybenzene-1,4-bis(trimethylsilyloxy)-",665,775,NA,C14H26O4Si2,314,limonox_S_blob_595,399,593,1701,-0.132424687,0.83306282,NA,0.875347559,0.876729266,0.803251228,0.037627133,0.099585266,-0.06796361,-0.010015708,0.030901948,-0.102287866,0.266125509,NA,0,0.245241814,-0.071614023,BB,,H,,BB,SQ,M,excellent BB4 and 5 corr
1221_0832_blob_746,0.001839766,0.812650881,0.514107974,0.453175377,0.321692741,0.700450992,0.09562254,0.589407464,0.434221504,-0.00264172,-0.062799355,-0.088454817,-0.121414881,farnesol,597,622,1826.845638,1832,"3-(1,5-Dimethyl-hexa-1,4-dienyl)-2,2-dimethyl-4-trimethylsilylcyclopentanol",625,647,NA,C18H34OSi,294,limonox_S_blob_871,676,701,1824,0.430272167,0.231136291,NA,0.083840208,-0.12418353,0.77575043,0.732245886,0.811680313,0.632486645,0.910630139,0.701577539,0.566158357,0.752035615,NA,1,0.76731597,0.751805994,MT,SQ,L,,SQ,MT,L,"excellent corr with IEPOX but not with ISOP tracers, nearly match corr MT and SQ tracers"
1221_0832_blob_745,0.000610169,-0.056638042,0.428818974,0.021702689,-0.034311627,0.000518678,0.462012816,-0.144644286,-0.337124379,0.170209056,0.603891718,0.733349008,0.816768932,C30,794,815,3054.347826,3058,"Sulfurous acid, butyl heptadecyl ester",782,851,NA,C21H44O3S,376,apin_ox_S_blob_751,350,384,NA,-0.226588981,0.766335051,NA,0.638977038,0.842475956,0.57292407,0.109697658,0.096942746,-0.156154347,-0.123833283,0.096630607,-0.239782308,-0.051171746,NA,-0.436683209,0.215882031,-0.003581191,NYC,,,,,,,
1221_0832_blob_743,0.000352171,0.479143815,0.248020506,0.37886721,0.713516021,0.665728333,0.219012795,0.577159821,0.174334338,0.089783301,-0.553264951,-0.129109083,-0.440372244,mannosan,553,644,1718.292683,1706,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",679,753,NA,C15H30O5Si,318,myrc_ox_L_blob_709,670,706,1709,0.081260424,0.341217775,NA,-0.278525454,-0.581796753,0.537684121,0.701868194,0.71350264,-0.036912298,0.72729256,0.477493703,0.04429598,0,NA,0,0,0.301140133,NYC,,,,,,,
1221_0832_blob_739,0.000766818,0.471739087,0.402121837,0.466511016,-0.021204395,0.085192001,-0.31581225,0.498125637,0.153373233,-0.272230642,-0.188113053,-0.214681244,-0.414864519,"2-Ketoglutaric acid, tri-TMS",415,642,1652.439024,1629,Tris(trimethylsiloxy)ethylene,702,791,NA,C11H28O3Si3,292,myrc_ox_L_blob_542,554,600,1660,0.78719785,0.017528252,NA,0.374388227,0.11067262,0.610365998,0.399175953,0.571375455,0.896317856,0.451500443,0.306686951,0.89184307,0.985480169,NA,0.976115432,0.859171558,0.701276017,NYC,,,,,,,
1221_0832_blob_734,9.19E-05,0.618838254,0.852984884,0.183979964,-0.217601938,-0.038317896,-0.021314963,NA,NA,NA,NA,NA,NA,C29,723,748,2961.616162,2955,2-Methyl-Z-4-tetradecene,756,770,NA,C15H30,210,apin_ox_S_blob_751,362,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_732,7.75E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7 acid,508,516,2048.888889,NA,"Pentaethylene glycol, 2TMS derivative",814,820,2007,C16H38O6Si2,382,limonox_S_blob_633,507,514,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NYC,,,,,,,
1221_0832_blob_731,0.000486734,0.482372316,0.523515167,0.221344403,0.00898233,0.096112016,-0.285257391,0.449160948,0.09250661,-0.2518604,-0.248349586,-0.335286108,-0.529518296,levoglucosan,539,582,1724.390244,1726,"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",696,727,NA,C16H40O5Si4,424,apin_ox_L_blob_553,610,626,1726,0.767392204,-0.111047067,NA,0.327167005,0.150277184,0.60121948,0.345063883,0.522650127,0.872957889,0.366411611,0.251266502,0.870999016,0,NA,0.949030589,0.684187096,0.680844859,NYC,,,,,,,
1221_0832_blob_730,0.004962956,0.587294935,0.595012139,0.70098376,0.620669508,0.761450535,0.533233222,0.169631554,-0.215419877,0.167332063,0.542530075,0.764179197,0.533813258,C7 acid,347,533,1845.637584,NA,"2-Phenyl-1,2-propanediol, 2TMS derivative",629,894,NA,C15H28O2Si2,296,limonox_S_blob_659,446,549,1861,-0.03566691,0.875411984,NA,0.853504404,0.801642893,0.833832642,0.168355884,0.219144124,0.215606804,0.101956632,0.191150877,0.038322588,0.395983439,NA,0.754497132,0.241927114,0.500425568,BB,,H,,BB,A,M,"traces well with BB1 and BB5, not super high in BB PMF but high in arom so not biogenic at the least"
1221_0832_blob_729,0.000385752,0.713064656,-0.320396633,0.715729572,0.370387563,0.613970758,-0.38202814,0.612446649,0.447028005,-0.357802168,-0.218412566,0.242127555,-0.316558442,C7 acid,463,537,1802.684564,NA,"Isoborneol, pentamethyldisilanyl ether",629,693,NA,C15H32OSi2,284,limonox_S_blob_671,576,638,1817,0.366932879,0.551066191,NA,0.714862121,0.379789299,0.817726159,0.81064785,0.87169021,0.57329677,0.851619567,0.265936962,0.572284102,0,NA,1,0.981772021,0.647127598,NYC,,,,,,,
1221_0832_blob_723,0.000491462,0.796724517,0.052877356,0.348834857,0.021442887,0.341735796,-0.218463951,0.698105685,0.799455763,-0.965068801,-0.77396605,-0.888121186,-0.923735611,C7 acid,599,662,1665.853659,NA,"7-Oxooctanoic acid, 2-trimethylsilylethyl ester",699,706,NA,C13H26O3Si,258,limonox_S_blob_1066,629,650,1672,0.61523114,-0.891680142,NA,-0.420542077,-0.693334046,0.718390272,0.562401307,0.681591228,0.794117995,0.88938027,-0.33552432,0.687272085,0,NA,-1,0,0.887713876,NYC,,,,,,,
1221_0832_blob_720,6.72E-05,0.771366689,0.743935659,0.155397367,-0.998088398,0.759150273,-0.873313625,NA,NA,NA,NA,NA,NA,C30,384,767,3017.391304,3058,"Sulfurous acid, butyl heptadecyl ester",769,855,NA,C21H44O3S,376,apin_ox_S_blob_751,350,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYC,,,,,,,
1221_0832_blob_719,0.001244572,0.821348611,0.603995952,0.195695063,-0.026073097,0.236592192,-0.154090516,0.654535902,0.324047902,-0.068359067,-0.174894949,-0.057569217,-0.135424499,C7 acid,549,554,1404.395604,NA,"3,6,10-Trioxa-2,11-disiladodecane, 2,2,11,11-tetramethyl-",697,717,NA,C11H28O3Si2,264,myrc_ox_L_blob_718,556,575,1414,0.344996511,0.026970369,NA,-0.062995979,-0.221314675,0.42572743,0.63613209,0.759632249,0.642657327,0.850977999,0.260858461,0.464047682,0.443526264,NA,0.395092827,0.511958964,0.720341401,MT,ISOP,L,"corr well with ISOP, MT, and SQ",ISOP,,H,excellent corr with all isop
1221_0832_blob_718,0.000813732,0.492273621,0.47808146,0.153405403,0.007217756,0.437274722,-0.243727976,0.48491917,0.235338753,0.424003672,0.498768428,0.399647231,0.39235961,"beta-caryophyllonic acid, TMS",467,469,1926.174497,1931,4-Propylacridine,685,748,NA,C16H15N,221,limonox_S_blob_633,488,553,NA,0.434669036,0.511949988,NA,0.228035534,0.322911128,0.721300214,0.44829735,0.560059926,0.564129039,0.446561149,0.453379581,0.430865998,0.659011371,NA,0.689523777,0.749298117,0.781571922,NYC,,,,,,,
1221_0832_blob_717,0.000876623,0.542925029,0.391503051,0.446438578,-0.070147917,0.382015547,-0.134552189,0.176710794,0.432422545,0.24807377,-0.042020611,-0.175451669,-0.233378756,C7 acid,482,488,1504.395604,NA,"4-Pentenoic acid, TMS derivative",733,758,NA,C8H16O2Si,172,limonox_L_blob_662,866,868,1501,0.396527548,-0.029050674,NA,-0.06134982,-0.10689292,0.291556523,0.34715389,0.487627674,0.30268925,0.578325687,0.795535466,0.443996093,0.426903331,NA,0.709836149,0.831818993,0.587312367,NYC,,,,,,,
1221_0832_blob_714,0.000205569,0.130683004,0.489706767,0.08189387,-0.052552451,0.000697401,0.206513357,-0.174774848,0.568493111,0.675508067,-0.235629697,-0.13250289,0.477117494,C27,486,756,2781.308411,2750,"Sulfurous acid, butyl heptadecyl ester",807,855,NA,C21H44O3S,376,apin_ox_S_blob_751,321,349,NA,0.358183255,-0.323758368,NA,-0.058504772,-0.120085191,0.183247844,-0.054630386,-0.216514204,0.022607086,0.257362979,0.479402366,0.135305679,0,NA,0,-0.407271394,0.281327483,NYC,,,,,,,
