"","Compound.Name","assigned_cluster_1","anthro_influenced_1","influence_type_1","notes_1","assigned_cluster_2","anthro_influenced_2","influence_type_2","notes_2","ES_Comp_Name","Tracer_key","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","cumsum_ISrawnorm","vol_frac_1","vol_frac_2"
"446","1213_2145_blob_1207",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Trimethylsilyl 3,5-bis(trimethylsilyloxy)-3-methylvalerate",650,"apin_ox_S_blob_592",485,1.16161887214329e-05,NA,0.230717631063636
"447","1213_2145_blob_1204",13,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",653,"limonox_S_blob_687",439,0.000299695127669264,0.0242284099717432,0.230717631063636
"448","1213_2145_blob_1189",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",668,"limonox_S_blob_633",501,1.02779570656995e-05,NA,0.230717631063636
"449","1213_2145_blob_1183",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"3-Trimethylsiloxyoctanoic acid, trimethylsilyl ester",634,"apin_ox_S_blob_592",510,1.49091479357598e-05,NA,0.230717631063636
"450","1213_2145_blob_1173",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Pentitol, 3-desoxy-tetrakis-O-(trimethylsilyl)-",665,"limonox_S_blob_633",393,1.52941189206328e-05,0.0466785412509809,0.230717631063636
"451","1213_2145_blob_1159",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",667,"limonox_S_blob_725",604,2.30653227361205e-05,0.172096192979959,0.230717631063636
"452","1213_2145_blob_1113",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,"limonox_S_blob_1216",528,5.2768187038867e-05,0.0633705834493537,0.230717631063636
"453","1213_2145_blob_1085",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",681,"limonox_S_blob_814",574,3.88768612864783e-05,0.0649182550729844,0.230717631063636
"454","1213_2145_blob_1063",1,FALSE,NA,"some correlation with anthro, but not strong enough realtive to tother things",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"2-Penten-2,4-diol, 4-methyl-, bis(trimethylsilyl)ether",632,"apin_ox_S_blob_592",426,2.33892735840443e-05,0.0466785412509809,0.230717631063636
"455","1213_2145_blob_1053",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",655,"limonox_S_blob_725",593,3.78052046625957e-05,NA,0.230717631063636
"456","1213_2145_blob_1051",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",675,"limonox_S_blob_685",555,3.55587152579377e-05,0.172096192979959,0.230717631063636
"457","1213_2145_blob_1044",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",688,"limonox_S_blob_788",527,4.86431913058966e-05,NA,0.230717631063636
"458","1213_2145_blob_1041",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic methylboronate",670,"limonox_S_blob_701",469,6.67881839096564e-05,0.172096192979959,0.230717631063636
"459","1213_2145_blob_1038",11,TRUE,"UP","Phthalic acid here; also some bb influence",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate",642,"limonox_S_blob_720",558,0.000458897898378074,0.172096192979959,0.230717631063636
"460","1213_2145_blob_1035",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",634,"limonox_S_blob_788",459,1.12798293601876e-05,NA,0.230717631063636
"461","1213_2145_blob_1033",5,FALSE,NA,"IEPOX and LOOOA",7,FALSE,NA,"Strong IEPOX and LOOOA connections",NA,NA,"benzoic acid, 4-[[(trimethylsilyl)oxy]methyl]-, trimethylsilyl ester",673,"limonox_L_blob_543",493,0.000289699123790774,0.020926692898477,0.117693231121791
"462","1213_2145_blob_1015",8,FALSE,NA,"very strong IEPOX, also some LOOOA and MOOOA",3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",694,"apin_ox_S_blob_592",475,3.58773196391773e-05,0.0633705834493537,0.230717631063636
"463","1213_2145_blob_1004",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"{[2-(Trichloromethyl)-1,3-dioxane-5,5-diyl]bis(methanediyloxy)}bis(trimethylsilane)",683,"apin_ox_S_blob_592",479,5.02458342731564e-05,0.0649182550729844,0.230717631063636
"464","1213_2145_blob_1003",NA,NA,NA,NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"Pentitol, 3-desoxy-tetrakis-O-(trimethylsilyl)-",708,"myrc_ox_L_blob_727",562,1.72142521844434e-05,NA,0.230717631063636
"465","1213_2145_blob_1000",12,TRUE,"UP",NA,3,TRUE,"UP","strogn urban plume corr and strong IEPOX",NA,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",664,"limonox_S_blob_788",526,8.02586544758362e-05,0.0649182550729844,0.230717631063636
"466","1206_0924_blob_959",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1-Cyclopenten-3-one, 1-(3-methoxy-1-(E)-octenyl)-2-trimethylsilyl-",563,"limonox_S_blob_687",330,8.22322512358898e-06,NA,0.525616925600794
"467","1206_0924_blob_950",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Ethyl iso-allocholate",656,"limonox_S_blob_701",382,2.72005496425329e-05,NA,0.525616925600794
"468","1206_0924_blob_95",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Methyl-3-[(trimethylsilyl)oxy]-5-{[(trimethylsilyl)oxy]methyl}pyridine-4-carbaldehyde",643,"limonox_L_blob_611",415,0.000311370742600928,NA,0.525616925600794
"469","1206_0924_blob_936",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1-Cyclopentene-1-propanoic acid, 2-[3,7-bis[(trimethylsilyl)oxy]-1-octenyl]-5-oxo-, methyl ester",632,"myrc_ox_L_blob_767",0,2.35329174025984e-05,NA,0.525616925600794
"470","1206_0924_blob_935",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Urs-12-en-28-oic acid, 3-hydroxy-, methyl ester, (3ﬂ)-",683,"limonox_S_blob_687",365,2.46952192798433e-05,NA,0.525616925600794
"471","1206_0924_blob_932",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"9,10-Secocholesta-5,7,10(19)-triene-3,24,25-triol, (3ﬂ,5Z,7E)-",685,"limonox_S_blob_687",368,7.43513046205313e-05,NA,0.525616925600794
"472","1206_0924_blob_93",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1-Hexacosanol, TMS derivative",833,"bcp_ox_L_blob_18",333,0.000854109680511137,0.10139608802959,0.525616925600794
"473","1206_0924_blob_916",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"4,13,20-Tri-O-methylphorbol 12-acetate",635,"limonox_S_blob_701",340,2.80536276626337e-05,NA,0.525616925600794
"474","1206_0924_blob_915",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Methyl-3,5-dinitrobenzyl alcohol, TBDMS derivative",565,"limonox_S_blob_687",286,3.42044754178895e-05,NA,0.525616925600794
"475","1206_0924_blob_912",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Naphtho[2,3-c]furan-1(3H)-one, 4-(3,4-dimethoxyphenyl)-3a,4,9,9a-tetrahydro-6,7-dimethoxy-, [3aR-(3aa,4a,9aa)]-",620,"limonox_S_blob_746",0,4.06120321017087e-05,NA,0.525616925600794
"476","1206_0924_blob_911",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Phorbol 12,13,20-triacetate",611,"limonox_S_blob_701",356,1.34978118032464e-05,NA,0.525616925600794
"477","1206_0924_blob_905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5a-Pregn-16-en-20-one, 3ﬂ,12a-dihydroxy-, diacetate",573,"limonox_S_blob_701",379,NA,NA,NA
"478","1206_0924_blob_89",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",671,"apin_ox_S_blob_592",262,0.000302876369522044,NA,0.525616925600794
"479","1206_0924_blob_870",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Cyclohexene-1-carboxylic acid, 1,3-dimethyl-2-(3-methyl-7-oxo-1,3-octadienyl)-4-oxo-, methyl ester, (+)-",634,"limonox_S_blob_701",307,4.0337880590668e-05,NA,0.525616925600794
"480","1206_0924_blob_87",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor","beta-sitosterol",NA,"Stigmast-5-ene, 3ﬂ-(trimethylsiloxy)-, (24S)-",871,"limonox_S_blob_687",427,0.0011014430877024,0.10139608802959,0.525616925600794
"481","1206_0924_blob_865",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"19-Norethandrolone, TMS derivative",565,"apin_ox_S_blob_602",0,6.59846824879735e-06,NA,0.525616925600794
"482","1206_0924_blob_86",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,4,6-tris-O-(trimethylsilyl)-, acetate",657,"myrc_ox_L_blob_562",519,0.000307502228727593,NA,0.525616925600794
"483","1206_0924_blob_845",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"ﬂ-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",628,"limonox_S_blob_687",420,2.33398205344172e-05,NA,0.525616925600794
"484","1206_0924_blob_841",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Amino-7,10-dimethyldibenzo[b,f][1,4]oxazepin-11(10H)-one, TMS derivative",566,"limonox_S_blob_687",293,1.26152545000561e-05,NA,0.525616925600794
"485","1206_0924_blob_84",10,TRUE,"BB","Levoglucosan here",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-cyclopropen-1-one, 2-[5-methoxy-2-(2-methoxy-1-naphthalenyl)-6-propyl-3-benzofuranyl]-3-(2,4,6-trimethylphenyl)-",677,"bcp_ox_L_blob_606",0,0.00118745735119206,0.10139608802959,0.525616925600794
"486","1206_0924_blob_838",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Methoxymandelic acid, ethyl ester, TMS",575,"limonox_S_blob_687",308,2.12125172844048e-05,NA,0.525616925600794
"487","1206_0924_blob_830",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"3-Desoxo-3,16-dihydroxy-12-desoxyphorbol 3,13,16,20-tetraacetate",572,"limonox_S_blob_701",317,2.86249861914034e-05,NA,0.525616925600794
"488","1206_0924_blob_823",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2H-1,4-Benzodiazepin-2-one, 7-chloro-1,3-dihydro-1-methyl-5-[4-[(trimethylsilyl)oxy]phenyl]-",606,"limonox_S_blob_687",343,8.12228395450255e-06,NA,0.525616925600794
"489","1206_0924_blob_790",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Rhodoxanthin",627,"apin_ox_S_blob_592",297,1.98614044270986e-05,NA,0.525616925600794
"490","1206_0924_blob_788",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1-Cyclopentene-1-propanoic acid, 2-[3,7-bis[(trimethylsilyl)oxy]-1-octenyl]-5-oxo-, methyl ester",619,"myrc_ox_L_blob_767",0,1.8374223883781e-05,NA,0.525616925600794
"491","1206_0924_blob_787",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1H-2,8a-Methanocyclopenta[a]cyclopropa[e]cyclodecen-11-one, 1a,2,5,5a,6,9,10,10a-octahydro-5,5a,6-trihydroxy-1,4-bis(hydroxymethyl)-1,7,9-trimethyl-, [1S-(1a,1aa,2a,5ﬂ,5aﬂ,6ﬂ,8aa,9a,10aa)]-",675,"bcp_ox_L_blob_708",0,3.58146449764258e-05,NA,0.525616925600794
"492","1206_0924_blob_779",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",617,"limonox_S_blob_905",438,6.04386232361575e-05,NA,0.525616925600794
"493","1206_0924_blob_750",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Methyl 2-hydroxypentacos-2-enoate, TMS derivative",598,"limonox_S_blob_687",412,1.3330885461435e-05,NA,0.525616925600794
"494","1206_0924_blob_75",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor","sinapinaldehyde",NA,"Sinapaldehyde, TMS derivative",805,"bcp_ox_L_blob_641",450,0.00178290573578859,NA,0.525616925600794
"495","1206_0924_blob_747",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Podocarpa-5,8,11,13-tetraen-7-one, 13-hydroxy-14-isopropyl-",623,"limonox_S_blob_701",336,1.86289997732868e-05,NA,0.525616925600794
"496","1206_0924_blob_741",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"4H-Cyclopropa[5',6']benz[1',2':7,8]azuleno[5,6-b]oxiren-4-one, 8,8a-bis(acetyloxy)-2a-[(acetyloxy)methyl]-1,1a,1b,1c,2a,3,3a,6a,6b,7,8,8a-dodecahydro-3,3a,6b-trihydroxy-1,1,5,7-tetramethyl-",540,"myrc_ox_L_blob_602",0,1.24667949357971e-05,NA,0.525616925600794
"497","1206_0924_blob_729",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Isoxazolo[2,3-b][1,2]benzoxazine-2-carboxylic acid, decahydro-4-phenyl-8a-[(trimethylsilyl)oxy]-, methyl ester",589,"limonox_S_blob_851",0,3.06869352087378e-05,NA,0.525616925600794
"498","1206_0924_blob_713",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"17-(1,5-Dimethylhexyl)-10,13-dimethyl-3-styrylhexadecahydrocyclopenta[a]phenanthren-2-one",590,"limonox_S_blob_687",372,2.31598982886487e-05,NA,0.525616925600794
"499","1206_0924_blob_71",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"19-Norethindrone, trimethylsilyl ether, O-methyloxime",556,"limonox_S_blob_788",369,0.000882306911616472,NA,0.525616925600794
"500","1206_0924_blob_709",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"a-D-Galactopyranoside, methyl 2,6-bis-O-(trimethylsilyl)-, cyclic butylboronate",625,"limonox_S_blob_687",366,4.76489024630269e-05,NA,0.525616925600794
"501","1206_0924_blob_702",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"5-Carbethoxysuccinylacetone, O,O,O-tris(trimethylsilyl)- .",600,"limonox_S_blob_687",335,1.43375077952389e-05,NA,0.525616925600794
"502","1206_0924_blob_700",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2ﬂ,4a-Epoxymethylphenanthrene-7-methanol, 1,1-dimethyl-2-methoxy-8-(1,3-dithiin-2-ylidene)methyl-1,2,3,4,4a,4b,5,6,7,8,8a,9-dodecahydro-, acetate",571,"limonox_S_blob_701",322,1.22520004699728e-05,NA,0.525616925600794
"503","1206_0924_blob_697",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Danthron, 2TMS derivative",657,"limonox_L_blob_543",368,0.000160671743926652,NA,0.525616925600794
"504","1206_0924_blob_69",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"ﬂ-D-Galactopyranoside, methyl 2,4-bis-O-(trimethylsilyl)-, diacetate",610,"myrc_ox_L_blob_586",504,7.46321200483212e-05,NA,0.525616925600794
"505","1206_0924_blob_688",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"a-N-Normethadol",595,"limonox_S_blob_1039",0,7.62027650455545e-05,NA,0.525616925600794
"506","1206_0924_blob_680",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"6-(Trimethylsilyl)oxy-6-methylcoumarin",801,"limonox_S_blob_847",335,9.78481164835433e-05,NA,0.525616925600794
"507","1206_0924_blob_676",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Urs-12-en-28-oic acid, 3-hydroxy-, methyl ester, (3ﬂ)-",669,"limonox_S_blob_687",362,2.48650070956425e-05,NA,0.525616925600794
"508","1206_0924_blob_673",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"trans-4-Ethoxy-2',3',4'-trimethoxychalcone",635,"myrc_ox_L_blob_569",357,8.16596820514107e-06,NA,0.525616925600794
"509","1206_0924_blob_67",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"4-Methoxymandelic acid, ethyl ester, TMS",756,"apin_ox_S_blob_592",248,0.000296132218771028,NA,0.525616925600794
"510","1206_0924_blob_669",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1-Cyclohexene-1-acrylic acid, 2,6,6-trimethyl-3-oxo-, methyl ester",642,"limonox_S_blob_633",316,0.000108515288240114,NA,0.525616925600794
"511","1206_0924_blob_660",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"4-Ethylthio-3,20-dioxo-4-pregnen-17alpha-yl acetate",581,"limonox_S_blob_701",318,9.42524757302091e-06,NA,0.525616925600794
"512","1206_0924_blob_65",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"3,4,5-Trimethoxyphenylacetic acid, TMS derivative",596,"limonox_S_blob_659",374,0.000240576262597343,NA,0.525616925600794
"513","1206_0924_blob_645",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2,5-Dimethylindole, TMS derivative",644,"bcp_ox_L_blob_704",363,4.73728572312094e-05,NA,0.525616925600794
"514","1206_0924_blob_635",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Androst-4-ene-3,17-dione, 2-[(trimethylsilyl)oxy]-, (2ﬂ)-",601,"myrc_ox_L_blob_628",464,3.13504263615844e-05,NA,0.525616925600794
"515","1206_0924_blob_634",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Butorphanol, TMS derivative",656,"myrc_ox_L_blob_569",326,9.48267267816498e-06,NA,0.525616925600794
"516","1206_0924_blob_633",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Epistephamiersine",676,"bcp_ox_L_blob_758",327,0.000183199597645518,NA,0.525616925600794
"517","1206_0924_blob_632",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"4-Nitro-1,3-phenylenediamine, N1,N3-bis(tert-butyldimethylsilyl)-",584,"limonox_S_blob_788",395,1.04605156306967e-05,NA,0.525616925600794
"518","1206_0924_blob_622",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Isoxazolo[2,3-b][1,2]benzoxazine-2-carboxylic acid, decahydro-4-phenyl-8a-[(trimethylsilyl)oxy]-, methyl ester",605,"limonox_L_blob_543",285,6.33938960813879e-05,NA,0.525616925600794
"519","1206_0924_blob_621",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Benzeneacetic acid, 2,4,5-tris[(trimethylsilyl)oxy]-, trimethylsilyl ester",579,"limonox_S_blob_701",333,2.29284261701225e-05,NA,0.525616925600794
"520","1206_0924_blob_613",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"17-(1,5-Dimethylhexyl)-10,13-dimethyl-3-styrylhexadecahydrocyclopenta[a]phenanthren-2-one",584,"limonox_S_blob_701",345,1.20435723308425e-05,NA,0.525616925600794
"521","1206_0924_blob_610",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"5,7,9(11)-Androstatriene, 3-hydroxy-17-oxo-",674,"bcp_ox_L_blob_668",0,7.33215106926342e-05,NA,0.525616925600794
"522","1206_0924_blob_609",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2,3,3',4'-tetramethoxy-5-(3-methoxyprop-1-enly)stilbene",613,"limonox_L_blob_543",402,3.08703372330815e-05,NA,0.525616925600794
"523","1206_0924_blob_599",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"1H-Cyclopenta[a]phenanthrene-7-carboxylic acid, 2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-10,13-dimethyl-3-oxo-17,2'-spiro(5-oxotetrahydrofuran)-, ethyl ester",588,"limonox_S_blob_701",394,2.55313964980215e-05,NA,0.525616925600794
"524","1206_0924_blob_598",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-1,3-dimethyl-2,4,6-trioxo-5-pyrimidinyl)-1-methylbutyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",652,"limonox_L_blob_543",353,2.30351800928974e-05,NA,0.525616925600794
"525","1206_0924_blob_588",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Isobarbituric acid, 3TMS derivative",647,"limonox_S_blob_687",313,3.60252748559274e-05,NA,0.525616925600794
"526","1206_0924_blob_565",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Spiro[isoquinoline-1,2'-indene],1,2,3,4,2',3'-tetrahydro-6'-hydroxy-6,7,3',7'-tetramethoxy-2-methyl-1'-oxo-",663,"limonox_L_blob_543",348,3.05229493618743e-05,NA,0.525616925600794
"527","1206_0924_blob_563",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2H-1,4-Benzodiazepin-2-one, 7-chloro-1,3-dihydro-1-methyl-5-[4-[(trimethylsilyl)oxy]phenyl]-",630,"limonox_L_blob_543",362,2.02415865470335e-05,NA,0.525616925600794
"528","1206_0924_blob_56",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor","4-nitrocatechol",NA,"8-Azabicyclo[4.3.0]non-3-ene-7,9-dione, 8-phenyl-3-(trimethylsilyl)-",703,"myrc_ox_L_blob_628",349,0.00106973806808143,NA,0.525616925600794
"529","1206_0924_blob_558",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-Chlorobis(3-trimethylsilylpropyl)silylnorbornadiene",561,"limonox_S_blob_687",345,1.65602780745211e-05,NA,0.525616925600794
"530","1206_0924_blob_552",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2-[4-methyl-6-(2,6,6-trimethylcyclohex-1-enyl)hexa-1,3,5-trienyl]cyclohex-1-en-1-carboxaldehyde",638,"limonox_S_blob_701",462,4.251259274952e-05,NA,0.525616925600794
"531","1206_0924_blob_547",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-1,3-dimethyl-2,4,6-trioxo-5-pyrimidinyl)-1-methylbutyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester",659,"limonox_S_blob_701",350,1.42700988007935e-05,NA,0.525616925600794
"532","1206_0924_blob_543",7,FALSE,NA,"total myserty",4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Oleanolic acid",628,"limonox_S_blob_687",393,3.78095333010327e-05,0.057495434307447,0.525616925600794
"533","1206_0924_blob_542",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Ethanone, 1-[4-(5-methyl-2-thienylmethylideneamino)phenyl]-",691,"limonox_S_blob_1039",510,8.07803263456309e-05,NA,0.525616925600794
"534","1206_0924_blob_541",6,TRUE,"BB",NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"Stigmastanol, TMS derivative",742,"limonox_S_blob_687",430,4.86194864881878e-05,0.0231549757315948,0.525616925600794
"535","1206_0924_blob_536",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"2,5-Dimethylindole, TMS derivative",670,"bcp_ox_L_blob_704",380,9.16663196327933e-05,NA,0.525616925600794
"536","1206_0924_blob_529",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"7-Dehydrodiosgenin",602,"limonox_S_blob_701",308,3.23113353162141e-05,NA,0.525616925600794
"537","1206_0924_blob_520",NA,NA,NA,NA,4,TRUE,"BB","very strong BB corr- the strongest factor",NA,NA,"({3,4,5-Tris[(trimethylsilyl)oxy]phenyl}methylidene)propanedinitrile",635,"limonox_S_blob_687",341,8.33282550592146e-06,NA,0.525616925600794
